ed_pts,ed_beds,admits,hosp_beds,vents,longest_wait,last_wait,nedocs_score
35,40,0,350,0,3.32,0.97,63.63
44,40,3,350,2,3.04,1.02,114.9
41,40,6,350,1,3.13,0.43,96.97
45,40,5,350,1,2.99,0.91,106.41
37,40,0,350,1,2.28,1.48,83.23
37,40,6,350,1,1.84,0.85,89.56
24,40,1,350,2,0.72,0.88,65.63
32,40,0,350,0,3.23,1.41,59.6
31,40,5,350,0,1.32,0.64,59.9
36,40,2,350,1,3.0,1.05,82.76
32,40,6,350,1,2.99,0.78,79.51
32,40,1,350,0,1.35,0.65,55.28
42,40,4,350,1,2.07,0.97,97.74
28,40,1,350,1,2.95,1.45,66.1
39,40,1,350,1,1.61,0.86,85.12
34,40,0,350,2,3.5,0.63,86.54
38,40,4,350,2,0.69,0.29,97.44
28,40,6,350,2,2.42,1.01,85.09
38,40,0,350,2,1.79,0.64,93.58
31,40,1,350,1,2.25,1.02,69.45
26,40,6,350,2,0.88,0.68,77.51
36,40,6,350,0,3.18,0.31,72.21
34,40,3,350,0,1.2,0.6,62.57
42,40,5,350,1,2.42,0.63,97.87
41,40,0,350,0,3.22,0.49,73.7
26,40,3,350,1,3.17,0.39,59.46
44,40,0,350,1,3.23,0.45,93.32
20,40,1,350,1,3.38,0.84,45.9
29,40,1,350,0,0.96,0.7,48.76
37,40,6,350,1,2.44,1.22,92.2
38,40,2,350,2,1.91,0.96,98.93
34,40,6,350,1,2.73,1.47,87.45
27,40,0,350,0,1.72,1.36,47.19
43,40,0,350,1,3.13,0.28,90.13
31,40,3,350,1,2.94,1.41,75.72
37,40,3,350,2,3.18,0.58,97.54
29,40,6,350,1,2.12,0.47,70.51
21,40,3,350,2,2.55,1.49,67.76
24,40,3,350,1,1.51,1.16,57.97
32,40,3,350,1,3.17,0.52,73.06
43,40,2,350,2,1.39,1.33,111.26
23,40,6,350,1,1.91,1.36,62.47
39,40,0,350,2,3.04,0.99,98.87
34,40,4,350,0,3.39,1.23,69.88
23,40,4,350,0,2.72,1.15,45.21
36,40,2,350,2,1.35,0.76,92.99
22,40,3,350,0,1.85,1.09,40.2
45,40,0,350,2,2.39,0.34,107.47
29,40,4,350,2,0.53,0.65,80.02
20,40,5,350,2,2.29,1.14,66.83
23,40,3,350,2,0.76,1.41,69.94
36,40,6,350,2,2.63,0.38,98.89
44,40,6,350,1,2.97,0.31,102.58
39,40,3,350,0,2.78,1.01,77.08
32,40,2,350,2,3.15,0.27,83.32
44,40,0,350,1,1.37,1.34,96.61
40,40,1,350,1,1.99,0.44,85.25
33,40,0,350,0,0.63,1.03,57.18
24,40,1,350,2,0.96,1.23,67.82
22,40,2,350,2,3.33,1.03,66.32
39,40,5,350,2,0.58,0.95,104.92
28,40,6,350,1,1.77,0.96,70.81
41,40,0,350,0,0.56,0.27,69.99
33,40,6,350,0,0.65,1.04,67.54
26,40,5,350,0,1.82,0.64,49.64
39,40,5,350,2,3.1,1.07,107.94
34,40,3,350,0,3.37,1.04,67.07
38,40,6,350,0,2.78,0.9,79.46
42,40,5,350,2,2.9,1.03,113.97
43,40,6,350,2,1.94,1.44,119.25
38,40,2,350,0,0.59,0.87,70.39
21,40,1,350,1,1.67,0.28,43.29
45,40,6,350,1,1.92,0.26,103.46
35,40,1,350,0,0.7,1.19,64.15
26,40,5,350,0,1.46,1.48,54.05
33,40,4,350,2,2.27,1.08,92.64
27,40,3,350,0,1.67,1.35,52.22
39,40,3,350,0,3.42,0.55,75.08
45,40,1,350,1,3.24,1.27,101.82
24,40,3,350,1,0.5,1.38,58.27
32,40,3,350,1,3.07,1.12,76.35
34,40,2,350,2,3.07,0.88,90.98
44,40,4,350,1,2.25,0.72,100.79
25,40,1,350,2,0.6,0.55,65.8
45,40,2,350,1,3.29,0.68,100.25
31,40,3,350,2,3.35,1.29,88.83
41,40,2,350,1,1.56,0.39,88.42
35,40,3,350,0,1.31,0.53,64.43
28,40,6,350,0,1.51,1.25,58.8
27,40,2,350,2,2.74,0.39,72.89
29,40,0,350,0,0.68,1.09,48.98
23,40,4,350,0,3.27,0.36,41.26
28,40,5,350,2,1.2,0.89,81.57
36,40,1,350,2,1.49,0.71,91.12
33,40,6,350,0,2.16,1.37,70.81
30,40,2,350,0,1.93,0.65,53.24
22,40,3,350,0,2.14,0.54,37.37
24,40,6,350,1,0.57,0.89,60.72
29,40,3,350,1,2.53,0.88,68.06
25,40,6,350,2,1.94,0.84,77.25
42,40,2,350,1,1.18,0.84,92.75
37,40,4,350,0,3.06,1.25,76.12
34,40,6,350,0,2.88,1.2,72.66
39,40,6,350,1,2.28,0.9,94.54
23,40,0,350,2,0.77,0.65,60.52
24,40,3,350,0,1.52,1.0,43.68
29,40,5,350,1,1.18,1.16,71.82
39,40,6,350,0,1.65,0.33,77.34
42,40,2,350,1,1.51,0.38,90.47
37,40,1,350,2,1.19,0.98,94.51
45,40,0,350,1,2.39,1.23,99.08
21,40,2,350,0,1.3,0.87,34.59
30,40,5,350,1,1.77,1.48,76.31
28,40,0,350,0,1.41,0.7,45.32
20,40,5,350,0,1.47,0.26,34.3
20,40,2,350,2,2.0,1.11,61.25
21,40,6,350,0,3.27,1.47,46.66
22,40,1,350,0,2.94,0.57,34.85
22,40,2,350,2,2.67,0.94,65.2
21,40,4,350,1,0.81,0.49,48.82
43,40,2,350,2,2.43,0.52,107.66
22,40,2,350,2,0.52,0.37,59.99
21,40,2,350,2,2.81,1.45,66.06
28,40,5,350,2,3.27,1.08,84.56
20,40,2,350,2,2.83,1.34,63.32
37,40,5,350,1,2.1,0.52,86.22
31,40,4,350,0,1.44,0.39,56.89
23,40,0,350,0,1.17,1.25,37.47
29,40,2,350,0,1.97,0.62,50.96
26,40,3,350,2,2.25,1.36,77.48
44,40,4,350,2,2.07,1.17,116.56
35,40,6,350,0,0.62,0.54,68.98
32,40,2,350,1,1.71,0.36,69.09
20,40,1,350,0,1.85,0.37,28.42
26,40,2,350,1,1.78,1.14,60.68
20,40,5,350,0,2.73,1.13,40.38
23,40,0,350,0,2.51,0.48,34.38
32,40,6,350,2,2.19,0.7,91.71
38,40,2,350,1,2.22,1.39,88.24
35,40,2,350,2,3.05,0.48,90.85
25,40,6,350,1,1.44,1.3,65.98
23,40,6,350,1,3.36,0.77,60.49
37,40,1,350,2,3.16,0.5,93.64
21,40,1,350,2,2.17,0.41,57.89
35,40,1,350,0,0.58,0.92,62.52
34,40,6,350,1,3.24,0.49,82.39
42,40,3,350,2,1.61,0.92,108.72
40,40,4,350,1,0.84,1.19,93.55
21,40,3,350,0,3.39,0.83,38.02
36,40,2,350,1,2.19,0.58,79.36
45,40,1,350,1,0.61,0.47,94.86
30,40,5,350,1,2.75,0.81,73.45
21,40,2,350,2,2.02,1.26,64.26
33,40,3,350,0,2.48,0.75,62.46
38,40,4,350,2,1.38,0.96,101.86
43,40,5,350,1,2.18,0.77,100.58
37,40,4,350,2,2.98,0.83,100.47
31,40,5,350,2,3.18,0.4,87.08
30,40,2,350,0,1.71,0.8,53.88
41,40,6,350,2,2.53,0.26,108.85
39,40,0,350,2,2.68,0.71,96.95
20,40,3,350,1,1.72,1.15,49.53
32,40,3,350,2,3.32,1.44,91.79
41,40,3,350,0,0.86,1.19,80.6
33,40,5,350,0,2.92,0.9,67.15
21,40,6,350,2,2.09,0.95,69.43
44,40,0,350,0,2.67,1.29,84.14
28,40,1,350,2,2.86,0.46,73.83
22,40,0,350,2,2.86,0.85,61.44
23,40,0,350,1,2.9,0.99,51.02
33,40,3,350,1,1.06,0.97,75.78
34,40,5,350,2,3.1,1.25,98.23
24,40,4,350,0,0.79,0.46,41.67
41,40,3,350,2,2.03,1.1,107.98
40,40,5,350,2,2.43,1.14,109.86
34,40,6,350,0,3.0,0.81,70.57
22,40,3,350,1,2.53,0.28,49.66
26,40,3,350,0,2.66,0.51,46.26
35,40,4,350,2,1.78,0.66,94.11
20,40,4,350,0,0.98,0.65,34.33
31,40,5,350,0,0.51,0.98,61.07
39,40,1,350,2,1.76,0.34,95.72
43,40,4,350,0,0.59,1.44,87.76
24,40,3,350,1,3.37,0.72,57.22
36,40,0,350,2,2.3,1.36,93.83
25,40,6,350,1,1.28,1.43,66.57
29,40,3,350,2,0.96,1.45,83.22
31,40,1,350,0,2.87,1.36,58.55
24,40,1,350,2,0.63,1.1,66.78
23,40,6,350,0,1.3,0.85,45.62
29,40,6,350,1,2.56,0.72,72.33
36,40,0,350,2,1.41,0.78,89.73
37,40,3,350,0,0.93,0.47,68.02
23,40,1,350,1,2.8,1.4,54.95
30,40,2,350,0,0.8,1.06,54.5
25,40,3,350,1,0.97,1.2,59.84
36,40,5,350,1,3.01,0.53,84.98
43,40,2,350,1,1.79,1.03,96.54
32,40,0,350,0,3.01,1.35,59.05
43,40,2,350,0,2.47,0.91,83.09
22,40,5,350,1,2.33,1.03,57.14
42,40,4,350,0,2.82,1.03,85.38
44,40,2,350,1,3.02,0.51,96.89
35,40,2,350,2,1.6,0.97,92.26
41,40,5,350,2,3.49,0.92,111.75
30,40,0,350,0,2.52,1.47,54.98
31,40,3,350,0,1.28,1.1,59.03
42,40,2,350,2,2.84,1.0,108.6
20,40,0,350,1,1.48,0.98,43.2
34,40,2,350,1,1.98,0.65,75.27
38,40,3,350,2,1.69,0.52,97.96
43,40,0,350,2,1.48,1.1,106.62
41,40,0,350,0,1.61,0.45,71.98
42,40,5,350,0,2.27,1.28,87.99
44,40,3,350,2,2.19,1.32,115.8
38,40,2,350,1,1.41,0.76,83.94
36,40,2,350,2,2.86,1.27,97.27
22,40,4,350,1,2.13,1.05,55.35
26,40,2,350,2,2.08,0.66,71.66
25,40,1,350,1,1.39,1.11,56.29
27,40,3,350,2,2.4,1.15,78.58
42,40,1,350,0,2.14,1.46,82.03
40,40,5,350,0,2.22,1.09,82.58
39,40,0,350,0,2.98,0.54,69.47
29,40,1,350,2,1.46,0.83,76.76
45,40,3,350,1,2.45,1.43,105.41
35,40,3,350,0,0.52,1.12,67.02
25,40,5,350,0,1.17,1.44,51.41
41,40,6,350,0,2.28,0.64,83.96
41,40,5,350,0,1.77,1.35,85.78
20,40,2,350,2,2.3,0.64,58.88
29,40,1,350,0,1.5,1.06,51.29
40,40,0,350,0,3.21,1.36,76.46
22,40,0,350,2,1.58,0.58,58.73
43,40,0,350,2,2.76,0.36,103.63
31,40,5,350,1,2.58,0.75,75.1
36,40,6,350,1,2.43,1.15,89.65
26,40,4,350,0,2.09,1.28,51.79
24,40,6,350,2,0.52,0.55,72.15
41,40,1,350,0,3.08,1.18,79.18
42,40,0,350,1,3.5,0.27,88.27
21,40,5,350,0,1.36,0.74,39.05
26,40,4,350,2,1.43,0.46,73.35
21,40,2,350,2,0.71,1.3,63.27
43,40,6,350,1,3.3,0.6,102.37
32,40,6,350,2,0.81,1.38,94.26
41,40,0,350,0,1.25,0.94,74.41
40,40,3,350,0,2.87,1.19,80.32
32,40,6,350,2,2.48,0.82,92.66
40,40,1,350,0,3.0,1.13,76.68
32,40,1,350,1,1.53,0.96,70.59
41,40,2,350,2,1.67,0.55,102.83
23,40,2,350,0,3.16,1.46,43.94
45,40,4,350,2,2.29,0.45,114.85
40,40,2,350,1,2.76,1.05,91.12
35,40,2,350,0,0.69,1.17,65.74
42,40,2,350,1,2.24,0.69,92.89
20,40,0,350,1,3.24,1.31,46.7
39,40,2,350,0,1.61,0.7,72.53
31,40,5,350,2,0.77,0.34,84.5
45,40,6,350,0,1.9,1.25,95.63
40,40,5,350,2,1.85,1.02,108.64
33,40,1,350,1,1.1,1.38,74.71
44,40,6,350,2,0.93,1.11,118.59
21,40,4,350,1,1.08,0.57,49.52
32,40,5,350,0,2.28,1.33,66.83
24,40,6,350,0,3.39,0.96,50.33
34,40,4,350,1,0.55,0.4,75.95
29,40,3,350,2,2.33,0.85,81.11
45,40,6,350,2,1.58,1.26,122.19
22,40,5,350,0,2.35,0.45,40.48
32,40,2,350,1,1.19,1.41,74.53
45,40,5,350,0,3.34,1.05,94.12
41,40,6,350,0,2.06,0.32,81.95
41,40,4,350,0,0.92,0.45,78.2
24,40,3,350,0,1.67,0.58,41.45
35,40,4,350,2,1.28,0.46,92.52
27,40,6,350,2,2.21,1.07,83.09
33,40,4,350,1,1.2,0.46,74.75
21,40,5,350,0,1.94,0.75,39.65
21,40,4,350,1,2.39,0.84,52.26
41,40,1,350,2,2.52,1.04,104.67
42,40,1,350,2,1.46,1.16,106.5
33,40,0,350,2,1.0,0.67,82.29
22,40,6,350,1,1.69,0.86,57.3
28,40,1,350,2,1.29,0.46,72.37
25,40,1,350,0,0.99,1.49,44.66
20,40,2,350,1,3.32,0.98,48.34
22,40,5,350,2,2.96,1.1,71.52
30,40,0,350,2,2.15,0.7,77.1
41,40,2,350,1,3.38,0.39,90.12
25,40,0,350,2,0.82,0.95,66.55
23,40,3,350,1,1.48,0.84,53.99
42,40,6,350,1,0.55,0.63,97.84
36,40,1,350,0,1.08,1.38,67.72
21,40,3,350,0,2.69,0.35,34.66
22,40,2,350,2,2.48,0.7,63.67
38,40,5,350,2,2.77,0.74,103.63
45,40,2,350,1,1.81,0.88,100.0
26,40,2,350,1,2.87,0.77,59.61
29,40,4,350,0,0.67,1.42,57.69
38,40,4,350,2,0.6,1.24,102.72
41,40,2,350,0,3.45,0.78,78.98
38,40,4,350,1,0.7,1.03,88.23
32,40,1,350,0,2.04,0.74,56.43
26,40,2,350,2,1.11,0.26,68.5
23,40,5,350,1,1.46,0.28,54.24
35,40,3,350,0,2.89,1.31,70.29
43,40,3,350,2,1.04,0.85,109.94
34,40,6,350,1,2.35,1.2,85.57
37,40,3,350,1,0.58,0.79,82.9
36,40,6,350,1,1.61,1.13,88.78
23,40,3,350,2,1.0,1.49,70.61
25,40,3,350,2,0.95,0.89,71.47
32,40,0,350,1,3.04,1.31,72.26
40,40,0,350,2,3.04,1.23,102.36
30,40,4,350,2,1.59,1.29,86.76
40,40,3,350,1,0.85,0.35,87.11
34,40,1,350,1,2.01,1.22,76.79
32,40,3,350,1,2.36,0.63,72.93
40,40,5,350,0,2.74,0.72,80.98
39,40,3,350,2,1.41,1.21,103.73
27,40,0,350,1,2.85,0.99,59.55
33,40,2,350,2,2.31,1.35,90.78
35,40,4,350,2,2.25,0.79,95.28
34,40,3,350,0,2.35,1.01,65.95
28,40,3,350,2,1.74,0.44,76.1
31,40,2,350,1,0.98,0.95,69.59
26,40,5,350,1,2.47,1.0,65.68
35,40,4,350,1,1.72,0.42,79.3
24,40,3,350,2,0.63,1.11,70.27
31,40,5,350,0,1.68,0.46,59.22
34,40,3,350,0,3.04,0.37,62.99
37,40,1,350,1,2.94,0.57,80.43
40,40,5,350,0,1.8,1.43,84.11
23,40,0,350,0,0.86,0.88,35.1
39,40,4,350,0,1.73,0.99,77.7
24,40,1,350,2,2.5,1.42,70.33
24,40,0,350,1,2.83,0.97,52.98
34,40,0,350,0,0.72,1.0,59.24
27,40,3,350,0,2.57,0.56,48.61
26,40,2,350,0,2.85,0.73,45.97
25,40,6,350,1,1.93,1.41,67.06
41,40,3,350,2,2.99,0.58,105.94
28,40,2,350,1,3.16,1.35,67.44
42,40,3,350,0,0.76,1.09,82.09
40,40,3,350,1,2.46,1.1,92.83
24,40,5,350,0,3.29,0.79,47.57
44,40,5,350,2,1.75,1.23,118.32
40,40,0,350,2,0.92,0.31,95.2
29,40,0,350,0,3.5,1.07,51.49
31,40,6,350,2,2.59,0.33,87.85
42,40,0,350,1,2.07,1.22,92.3
32,40,4,350,1,0.61,1.48,77.81
41,40,0,350,1,2.0,1.17,89.8
34,40,1,350,0,2.13,0.75,60.86
24,40,4,350,2,1.33,0.51,69.25
31,40,2,350,0,2.56,1.26,59.41
23,40,1,350,2,1.64,0.89,64.39
25,40,0,350,1,0.73,0.7,51.65
38,40,3,350,1,0.84,0.66,84.56
39,40,5,350,0,0.91,1.49,81.48
45,40,2,350,1,2.81,1.4,103.86
43,40,6,350,0,2.31,0.94,89.97
28,40,0,350,1,3.05,0.55,59.4
25,40,4,350,2,2.26,0.68,73.22
27,40,0,350,2,0.73,0.79,69.85
29,40,5,350,1,1.83,0.89,70.9
22,40,3,350,0,1.61,0.88,38.79
30,40,3,350,1,1.56,0.77,68.69
45,40,3,350,2,2.93,1.29,118.47
41,40,4,350,0,0.76,1.14,81.94
23,40,1,350,2,1.94,0.26,61.12
45,40,4,350,2,1.47,0.68,115.38
45,40,0,350,1,1.65,0.69,95.35
20,40,3,350,2,1.02,0.8,60.3
37,40,1,350,1,1.44,1.0,81.46
31,40,6,350,1,3.16,0.94,78.42
32,40,3,350,2,2.25,1.25,89.73
23,40,0,350,1,3.44,0.38,48.08
25,40,1,350,2,2.45,0.64,68.03
32,40,4,350,1,1.45,1.41,78.2
21,40,5,350,0,3.29,1.19,43.39
32,40,0,350,2,0.75,0.69,80.03
28,40,0,350,2,0.95,1.34,75.3
32,40,4,350,2,2.45,0.26,86.04
28,40,6,350,2,1.73,0.49,81.52
44,40,4,350,1,2.06,1.1,102.76
21,40,5,350,1,1.08,0.33,49.88
24,40,6,350,1,2.94,0.96,63.31
39,40,6,350,0,2.05,0.38,77.99
33,40,3,350,1,3.09,0.26,73.67
39,40,1,350,0,1.3,0.67,70.36
21,40,3,350,0,2.51,0.93,37.77
29,40,5,350,0,2.79,0.79,57.83
20,40,2,350,1,0.87,0.39,42.74
23,40,5,350,2,3.37,1.42,75.85
30,40,4,350,0,1.15,1.32,59.72
37,40,5,350,2,0.76,0.56,98.6
33,40,2,350,0,1.93,0.75,60.24
38,40,1,350,0,1.02,0.38,66.32
30,40,6,350,0,2.0,1.07,62.53
33,40,2,350,1,3.2,0.66,74.31
38,40,3,350,2,3.35,0.76,100.85
35,40,4,350,2,0.73,0.95,94.77
22,40,0,350,0,2.78,1.13,36.15
42,40,3,350,2,2.18,0.95,109.42
44,40,4,350,2,2.86,0.6,114.08
27,40,6,350,2,2.07,1.2,83.69
45,40,2,350,2,3.44,1.44,118.07
33,40,4,350,0,0.85,0.68,62.27
24,40,6,350,2,2.27,1.4,78.57
20,40,3,350,2,1.41,0.98,61.68
42,40,3,350,1,2.89,1.43,99.39
20,40,0,350,1,3.0,1.21,45.91
45,40,4,350,1,3.1,1.05,105.59
22,40,4,350,2,1.76,1.05,68.41
39,40,6,350,0,2.69,0.77,80.79
39,40,4,350,2,3.35,0.58,103.7
22,40,1,350,0,2.28,1.08,37.12
38,40,1,350,1,3.0,1.2,86.18
37,40,4,350,1,0.54,1.38,87.91
42,40,3,350,1,2.03,0.67,94.3
45,40,3,350,0,2.95,1.1,90.62
20,40,5,350,1,2.98,1.42,55.65
45,40,0,350,1,1.46,0.56,94.44
36,40,1,350,2,1.72,1.35,94.95
39,40,2,350,0,3.49,0.81,74.9
30,40,2,350,2,1.37,1.18,82.51
29,40,5,350,2,1.15,0.48,81.35
21,40,2,350,0,2.98,0.52,34.18
28,40,6,350,1,0.61,0.98,69.84
24,40,4,350,2,3.32,0.37,70.31
34,40,3,350,0,0.85,0.66,62.59
29,40,2,350,0,2.94,0.6,51.75
41,40,2,350,2,1.42,0.81,104.06
26,40,4,350,0,2.14,0.26,46.08
33,40,3,350,2,2.49,1.37,92.77
37,40,5,350,2,2.14,0.45,99.26
21,40,5,350,2,0.65,1.08,67.11
37,40,4,350,2,0.55,0.83,98.21
34,40,4,350,0,0.95,0.65,64.34
26,40,5,350,1,3.06,0.66,64.31
23,40,4,350,0,3.32,0.62,42.78
21,40,6,350,1,1.63,0.52,53.18
25,40,1,350,0,3.11,0.88,43.19
25,40,2,350,1,2.49,1.35,60.38
34,40,0,350,1,3.32,1.38,77.2
37,40,4,350,2,0.8,0.67,97.54
30,40,6,350,0,1.71,0.9,61.3
29,40,2,350,0,2.08,1.01,53.26
37,40,0,350,0,3.23,0.33,64.23
43,40,5,350,2,1.97,1.34,117.0
22,40,3,350,1,2.59,0.67,51.92
43,40,4,350,2,2.22,1.22,114.84
33,40,2,350,2,0.64,0.92,86.8
29,40,0,350,1,1.48,0.75,61.21
24,40,4,350,0,2.7,0.79,45.3
35,40,0,350,0,0.95,1.25,63.01
42,40,0,350,1,2.33,1.47,93.95
36,40,3,350,1,0.59,0.5,79.13
37,40,6,350,0,1.7,1.2,78.0
20,40,3,350,2,0.93,0.9,60.78
33,40,3,350,1,1.03,1.33,77.79
39,40,4,350,2,1.75,0.28,100.52
33,40,6,350,2,2.01,1.42,97.75
38,40,1,350,0,0.91,1.03,69.88
20,40,5,350,1,1.52,1.22,53.17
44,40,2,350,0,2.36,0.33,81.86
33,40,4,350,0,1.51,0.55,62.15
26,40,0,350,1,2.48,0.85,56.27
42,40,4,350,2,1.81,0.27,106.95
34,40,2,350,1,2.65,0.63,75.78
30,40,3,350,2,2.34,1.31,85.86
27,40,0,350,2,1.63,0.85,71.02
24,40,6,350,0,2.79,1.19,51.07
43,40,4,350,2,1.53,1.05,113.24
26,40,4,350,1,2.61,0.95,63.81
26,40,1,350,0,2.93,0.58,43.48
30,40,2,350,2,1.33,1.14,82.25
35,40,5,350,0,2.33,0.72,69.87
25,40,4,350,0,0.6,0.39,43.24
21,40,1,350,2,2.64,0.62,59.51
25,40,2,350,1,2.19,1.06,58.47
39,40,2,350,0,3.17,1.4,77.93
37,40,0,350,2,3.16,1.2,95.87
34,40,5,350,0,3.08,0.38,66.51
45,40,4,350,0,2.89,1.03,91.88
32,40,6,350,0,1.29,1.23,67.06
42,40,3,350,1,3.35,1.36,99.42
38,40,4,350,2,3.15,0.6,101.48
37,40,2,350,0,2.31,0.75,69.17
23,40,6,350,1,3.4,1.24,63.18
35,40,2,350,1,2.24,0.82,78.61
36,40,2,350,1,2.71,0.79,81.02
40,40,4,350,1,2.59,0.71,92.47
43,40,2,350,1,1.53,1.46,98.72
30,40,6,350,1,1.17,0.54,72.17
41,40,0,350,2,3.19,1.06,103.69
30,40,2,350,2,3.23,0.7,81.53
25,40,6,350,0,1.01,1.42,52.86
44,40,3,350,0,1.24,0.52,83.61
20,40,4,350,2,3.07,0.31,61.16
44,40,4,350,0,0.59,1.45,89.96
25,40,0,350,1,3.18,1.14,56.41
41,40,6,350,1,0.9,0.35,94.44
45,40,3,350,1,2.22,0.77,101.48
39,40,0,350,0,3.33,0.32,68.56
44,40,6,350,0,0.73,0.84,90.08
22,40,6,350,2,3.12,1.47,75.47
45,40,2,350,1,2.5,1.1,101.88
42,40,5,350,2,2.47,1.1,113.96
26,40,4,350,0,2.23,0.78,49.1
24,40,1,350,1,0.63,1.02,52.93
38,40,1,350,2,3.2,1.0,98.64
26,40,0,350,2,3.47,1.27,72.96
36,40,0,350,1,1.02,1.37,79.3
37,40,0,350,1,1.7,1.44,82.47
27,40,0,350,0,1.91,0.81,44.26
20,40,6,350,1,3.35,0.44,52.18
20,40,3,350,2,0.88,1.15,62.15
32,40,2,350,1,3.32,1.11,74.82
32,40,1,350,0,2.31,1.38,60.29
28,40,3,350,0,3.0,0.47,50.64
30,40,4,350,1,2.21,1.18,73.32
43,40,0,350,0,1.6,0.59,77.05
26,40,5,350,0,1.71,1.05,51.85
39,40,4,350,1,2.93,0.97,92.11
43,40,5,350,0,2.32,0.32,84.77
43,40,0,350,1,2.12,0.91,92.74
30,40,4,350,0,2.63,0.78,58.05
41,40,3,350,2,1.47,1.37,108.98
45,40,0,350,1,2.05,1.45,100.01
27,40,5,350,0,2.95,1.06,55.21
30,40,5,350,1,2.93,0.38,71.19
41,40,4,350,2,3.43,1.1,111.0
38,40,2,350,1,3.27,0.46,83.97
27,40,2,350,2,2.93,0.87,75.78
26,40,2,350,1,2.84,1.38,63.02
24,40,1,350,0,3.19,0.9,41.24
27,40,0,350,1,2.43,0.71,57.58
35,40,5,350,0,1.79,0.38,67.45
32,40,4,350,0,2.22,1.4,65.46
43,40,4,350,0,0.96,0.43,82.41
37,40,0,350,1,3.46,0.78,80.38
27,40,0,350,1,1.34,1.3,59.89
37,40,4,350,1,2.03,0.46,84.1
27,40,4,350,1,3.45,0.37,63.47
31,40,6,350,0,2.33,1.1,65.15
26,40,1,350,0,0.81,1.2,45.01
41,40,4,350,1,1.85,0.75,94.15
41,40,2,350,1,1.63,0.64,89.9
43,40,4,350,1,0.77,0.59,96.54
41,40,2,350,0,2.16,0.69,77.27
20,40,5,350,1,3.16,0.7,51.76
21,40,5,350,1,3.22,1.3,57.34
45,40,4,350,0,2.37,0.34,87.5
