Date,Hospital_Type,Daily_Status_Label,Simulated_Month,Agricultural_Season_Phase,Total_Patient_Volume,NEDOCS_Total_Score,ED_Total_Beds,Hospital_Total_Beds,Total_Patients_in_ED,Patients_Waiting_for_Admit_Bed,Longest_Admit_Wait_Time_Minutes,Admitted_Patients_Waiting_in_ED,ED_Respirators_in_Use,Average_Wait_Time_Mins,Bed_Occupancy_Rate_%,Active_Doctors_On_Shift,Active_Nurses_On_Shift,Dominant_Chief_Complaint,High_Acuity_ESI_1_2_%,Average_Patient_Age,Pediatric_Patient_%,Geriatric_Patient_%,Migrant_Laborer_Patient_%,Agricultural_Trauma_Patient_%,Toxicology_Animal_Bite_%,Air_Quality_Index_AQI,Weather_Condition,Avg_Temperature_C
1996-01-07,Big Rural (Delhi Outskirts),Slightly Busy,8,Off-Season / Sowing,220,91,15,100,97,33,92,32,1,46,73.7,11,39,Viral Fever,10.1,57.2,30.7,34.9,6.4,2.7,10.2,202,Warm/Humid,12.4
1996-01-07,Small Rural (Delhi Outskirts),Not Busy,11,Active Harvest Season,21,31,3,10,6,0,52,0,0,26,46.0,2,4,Routine Antenatal / Minor Infection / General Checkup,4.0,50.3,31.1,31.8,27.0,20.9,1.0,78,Clear / Pleasant,23.3
1996-01-08,Big Rural (Delhi Outskirts),Not Busy,11,Active Harvest Season,84,11,15,100,22,2,84,1,4,28,56.6,19,27,Routine Antenatal / Minor Infection / General Checkup,9.3,49.6,27.8,36.0,26.4,17.2,4.7,104,Clear / Pleasant,31.5
1996-01-08,Small Rural (Delhi Outskirts),Not Busy,10,Active Harvest Season,28,39,3,10,9,1,15,0,0,15,45.6,1,3,Routine Antenatal / Minor Infection / General Checkup,1.1,46.1,15.3,28.7,19.8,16.7,4.4,148,Clear / Pleasant,31.6
1996-01-09,Big Rural (Delhi Outskirts),Extremely Busy,10,Active Harvest Season,415,152,15,100,154,74,924,71,3,308,98.2,11,26,Severe COPD / Asthma (Stubble Smoke),4.7,34.9,27.9,36.3,22.7,11.9,3.4,649,Heavy Smog / Post-Harvest Burning,24.2
1996-01-09,Small Rural (Delhi Outskirts),Slightly Busy,12,Off-Season / Sowing,54,92,3,10,25,12,312,11,1,104,82.4,2,8,Pesticide Exposure (Mild),3.8,46.0,32.7,15.6,8.8,3.0,3.8,158,Light Rain,32.2
1996-01-10,Big Rural (Delhi Outskirts),Not Busy,5,Active Harvest Season,108,4,15,100,41,2,24,1,4,12,35.7,12,42,Routine Antenatal / Minor Infection / General Checkup,2.4,45.6,24.2,18.7,29.9,15.0,2.3,76,Clear / Pleasant,23.7
1996-01-10,Small Rural (Delhi Outskirts),Not Busy,10,Active Harvest Season,23,22,3,10,7,2,72,1,0,24,30.9,2,4,Routine Antenatal / Minor Infection / General Checkup,4.5,52.6,21.4,31.7,26.3,23.8,4.4,116,Clear / Pleasant,24.7
1996-01-11,Big Rural (Delhi Outskirts),Not Busy,2,Off-Season / Sowing,114,42,15,100,40,2,39,1,2,13,36.8,16,26,Routine Antenatal / Minor Infection / General Checkup,7.2,48.8,24.3,36.8,6.0,4.5,5.0,53,Clear / Pleasant,21.8
1996-01-11,Small Rural (Delhi Outskirts),Not Busy,9,Off-Season / Sowing,25,8,3,10,12,2,46,1,0,23,35.9,1,3,Routine Antenatal / Minor Infection / General Checkup,2.1,42.2,16.9,28.2,7.2,6.1,12.3,134,Clear / Pleasant,27.7
1996-01-12,Big Rural (Delhi Outskirts),Slightly Busy,5,Active Harvest Season,180,64,15,100,69,38,61,26,3,61,73.8,19,29,Minor Farm Trauma,11.3,45.3,17.4,37.4,25.6,11.7,4.1,340,Warm/Humid,16.4
1996-01-12,Small Rural (Delhi Outskirts),Slightly Busy,10,Active Harvest Season,56,59,3,10,19,8,107,7,0,107,79.3,3,3,Pesticide Exposure (Mild),4.3,31.6,24.4,28.6,33.8,24.8,3.8,213,Warm/Humid,31.9
1996-01-13,Big Rural (Delhi Outskirts),Slightly Busy,7,Off-Season / Sowing,220,96,15,100,70,45,104,36,1,104,92.0,20,25,Minor Farm Trauma,6.6,45.1,17.4,17.3,2.9,7.6,8.1,301,Dust Storm,20.3
1996-01-13,Small Rural (Delhi Outskirts),Slightly Busy,4,Active Harvest Season,48,93,3,10,12,6,115,4,0,115,83.6,1,6,Viral Fever,4.1,35.4,15.9,22.0,38.3,13.7,5.0,317,Dust Storm,18.7
1996-01-14,Big Rural (Delhi Outskirts),Not Busy,11,Active Harvest Season,90,27,15,100,25,1,31,0,3,31,62.2,11,41,Routine Antenatal / Minor Infection / General Checkup,11.0,51.0,23.1,24.9,15.5,15.2,1.0,70,Clear / Pleasant,21.9
1996-01-14,Small Rural (Delhi Outskirts),Not Busy,3,Off-Season / Sowing,18,50,3,10,8,0,60,0,0,30,53.0,1,7,Routine Antenatal / Minor Infection / General Checkup,1.0,54.1,26.4,35.2,6.6,7.9,3.7,72,Clear / Pleasant,29.3
1996-01-15,Big Rural (Delhi Outskirts),Slightly Busy,2,Off-Season / Sowing,212,88,15,100,86,44,116,37,4,58,78.1,10,49,Viral Fever,6.9,32.1,25.4,33.7,7.7,3.1,2.8,229,Light Rain,22.8
1996-01-15,Small Rural (Delhi Outskirts),Not Busy,10,Active Harvest Season,11,11,3,10,2,1,54,0,0,27,64.1,2,6,Routine Antenatal / Minor Infection / General Checkup,0.4,42.1,27.5,15.6,22.1,15.8,1.7,136,Clear / Pleasant,30.4
1996-01-16,Big Rural (Delhi Outskirts),Slightly Busy,3,Off-Season / Sowing,219,92,15,100,72,35,116,28,1,58,86.4,11,43,Pesticide Exposure (Mild),8.3,34.4,20.8,23.0,8.4,7.8,2.7,222,Dry Cold,11.5
1996-01-16,Small Rural (Delhi Outskirts),Not Busy,11,Active Harvest Season,33,43,3,10,14,1,87,0,1,29,62.2,1,4,Routine Antenatal / Minor Infection / General Checkup,0.8,46.3,33.9,38.9,21.3,19.9,3.6,71,Clear / Pleasant,27.7
1996-01-17,Big Rural (Delhi Outskirts),Not Busy,2,Off-Season / Sowing,93,47,15,100,32,0,117,0,3,39,44.3,10,50,Routine Antenatal / Minor Infection / General Checkup,6.2,32.7,18.4,21.9,9.5,3.8,2.1,81,Clear / Pleasant,30.1
1996-01-17,Small Rural (Delhi Outskirts),Not Busy,2,Off-Season / Sowing,13,7,3,10,3,1,21,0,0,7,44.9,3,6,Routine Antenatal / Minor Infection / General Checkup,1.9,44.6,32.9,33.4,2.2,6.1,1.1,67,Clear / Pleasant,28.9
1996-01-18,Big Rural (Delhi Outskirts),Not Busy,12,Off-Season / Sowing,74,2,15,100,17,1,15,0,3,5,58.5,15,50,Routine Antenatal / Minor Infection / General Checkup,4.8,55.9,34.5,25.0,8.5,4.9,1.7,114,Clear / Pleasant,23.6
1996-01-18,Small Rural (Delhi Outskirts),Slightly Busy,12,Off-Season / Sowing,39,99,3,10,16,9,170,8,0,85,90.7,3,6,Viral Fever,1.9,45.8,32.0,20.7,4.7,6.2,3.9,201,Dry Cold,36.8
1996-01-19,Big Rural (Delhi Outskirts),Slightly Busy,3,Off-Season / Sowing,189,95,15,100,48,29,136,17,3,68,87.3,14,32,Pesticide Exposure (Mild),9.3,36.6,32.8,28.9,2.9,5.0,1.1,308,Light Rain,30.7
1996-01-19,Small Rural (Delhi Outskirts),Extremely Busy,5,Active Harvest Season,61,103,3,10,23,15,1059,14,1,353,96.9,1,3,Severe Heatstroke / Thresher Accidents,4.5,50.5,34.2,40.0,32.2,14.9,3.0,191,Extreme Heatwave (Harvesting),44.2
1996-01-20,Big Rural (Delhi Outskirts),Not Busy,6,Off-Season / Sowing,71,39,15,100,15,0,99,0,4,33,41.1,13,32,Routine Antenatal / Minor Infection / General Checkup,7.1,30.2,32.9,30.3,8.1,4.0,4.1,144,Clear / Pleasant,30.3
1996-01-20,Small Rural (Delhi Outskirts),Slightly Busy,10,Active Harvest Season,44,60,3,10,11,3,147,2,0,49,80.9,3,4,Pesticide Exposure (Mild),2.0,51.7,32.1,17.6,35.6,24.3,2.9,161,Dust Storm,17.3
1996-01-21,Big Rural (Delhi Outskirts),Not Busy,4,Active Harvest Season,137,23,15,100,41,2,78,1,1,26,35.5,18,41,Routine Antenatal / Minor Infection / General Checkup,3.5,54.7,33.0,15.2,25.9,18.8,4.1,108,Clear / Pleasant,29.8
1996-01-21,Small Rural (Delhi Outskirts),Not Busy,8,Off-Season / Sowing,16,3,3,10,6,2,40,1,1,20,68.5,1,7,Routine Antenatal / Minor Infection / General Checkup,3.2,40.5,20.5,37.1,7.2,8.0,19.5,120,Clear / Pleasant,26.3
1996-01-22,Big Rural (Delhi Outskirts),Extremely Busy,8,Off-Season / Sowing,352,153,15,100,87,35,842,26,6,421,98.3,10,20,Snakebite / Waterborne (Cholera/Typhoid),5.8,31.6,22.3,21.1,6.1,2.2,17.7,59,Heavy Monsoon / Flooded Fields,33.6
1996-01-22,Small Rural (Delhi Outskirts),Not Busy,4,Active Harvest Season,26,31,3,10,7,1,30,0,0,30,37.7,1,3,Routine Antenatal / Minor Infection / General Checkup,4.7,40.1,34.2,35.8,29.6,15.1,3.8,100,Clear / Pleasant,23.0
1996-01-23,Big Rural (Delhi Outskirts),Slightly Busy,6,Off-Season / Sowing,246,95,15,100,73,43,222,32,4,111,78.1,17,43,Gastroenteritis,2.0,34.0,18.7,19.9,9.5,5.5,2.4,243,Light Rain,34.0
1996-01-23,Small Rural (Delhi Outskirts),Not Busy,9,Off-Season / Sowing,20,2,3,10,5,0,20,0,1,10,34.7,2,7,Routine Antenatal / Minor Infection / General Checkup,1.6,43.8,18.0,15.4,5.4,7.2,18.8,126,Clear / Pleasant,31.6
1996-01-24,Big Rural (Delhi Outskirts),Slightly Busy,9,Off-Season / Sowing,153,72,15,100,60,35,87,29,1,87,90.5,12,44,Minor Farm Trauma,9.1,53.7,34.3,16.7,4.4,7.6,17.4,310,Dry Cold,17.2
1996-01-24,Small Rural (Delhi Outskirts),Slightly Busy,12,Off-Season / Sowing,36,62,3,10,16,5,152,3,1,76,72.6,1,3,Minor Farm Trauma,1.7,56.4,19.6,15.5,8.0,6.1,3.2,288,Light Rain,22.0
1996-01-25,Big Rural (Delhi Outskirts),Extremely Busy,8,Off-Season / Sowing,263,102,15,100,69,51,922,32,3,461,99.0,7,24,Snakebite / Waterborne (Cholera/Typhoid),9.1,58.0,18.3,27.3,3.9,2.2,14.5,74,Heavy Monsoon / Flooded Fields,34.9
1996-01-25,Small Rural (Delhi Outskirts),Slightly Busy,1,Off-Season / Sowing,36,87,3,10,15,10,166,7,0,83,83.5,1,7,Minor Farm Trauma,3.8,39.8,29.5,28.4,2.6,7.7,4.7,152,Light Rain,39.6
1996-01-26,Big Rural (Delhi Outskirts),Not Busy,2,Off-Season / Sowing,82,18,15,100,23,2,32,1,2,32,59.9,14,36,Routine Antenatal / Minor Infection / General Checkup,13.1,47.6,31.7,19.9,4.1,4.6,3.5,80,Clear / Pleasant,20.4
1996-01-26,Small Rural (Delhi Outskirts),Slightly Busy,6,Off-Season / Sowing,40,74,3,10,14,8,152,7,1,76,72.4,1,4,Viral Fever,1.0,48.2,23.8,32.0,8.2,3.7,1.2,192,Light Rain,12.0
1996-01-27,Big Rural (Delhi Outskirts),Slightly Busy,9,Off-Season / Sowing,180,87,15,100,83,43,204,34,3,68,81.8,20,41,Viral Fever,5.3,53.1,24.1,29.3,4.3,4.1,14.3,160,Warm/Humid,34.8
1996-01-27,Small Rural (Delhi Outskirts),Not Busy,3,Off-Season / Sowing,33,27,3,10,14,2,36,1,1,12,60.9,1,6,Routine Antenatal / Minor Infection / General Checkup,3.9,49.2,28.3,24.4,6.2,6.2,2.3,87,Clear / Pleasant,20.1
1996-01-28,Big Rural (Delhi Outskirts),Not Busy,11,Active Harvest Season,86,33,15,100,27,0,57,0,2,19,64.9,13,33,Routine Antenatal / Minor Infection / General Checkup,9.2,54.2,23.0,19.1,28.7,10.4,1.4,126,Clear / Pleasant,22.6
1996-01-28,Small Rural (Delhi Outskirts),Not Busy,1,Off-Season / Sowing,12,43,3,10,3,2,114,1,1,38,34.8,3,8,Routine Antenatal / Minor Infection / General Checkup,4.0,59.7,15.9,22.1,9.8,7.5,5.0,75,Clear / Pleasant,26.5
1996-01-29,Big Rural (Delhi Outskirts),Slightly Busy,4,Active Harvest Season,201,97,15,100,82,40,152,29,1,76,87.1,19,49,Minor Farm Trauma,9.9,59.8,33.7,29.4,34.1,13.7,1.8,158,Dust Storm,41.8
1996-01-29,Small Rural (Delhi Outskirts),Not Busy,4,Active Harvest Season,10,17,3,10,3,2,28,1,1,14,48.3,3,4,Routine Antenatal / Minor Infection / General Checkup,4.3,53.3,18.3,32.4,29.4,12.6,3.1,135,Clear / Pleasant,28.0
1996-01-30,Big Rural (Delhi Outskirts),Slightly Busy,5,Active Harvest Season,199,53,15,100,44,21,135,18,4,45,80.7,10,39,Pesticide Exposure (Mild),13.4,37.2,33.1,29.4,17.2,20.5,2.1,280,Warm/Humid,27.1
1996-01-30,Small Rural (Delhi Outskirts),Not Busy,12,Off-Season / Sowing,23,37,3,10,6,2,35,1,0,35,63.0,1,6,Routine Antenatal / Minor Infection / General Checkup,0.6,55.4,20.9,27.3,5.1,7.6,1.6,77,Clear / Pleasant,21.2
1996-01-31,Big Rural (Delhi Outskirts),Not Busy,12,Off-Season / Sowing,122,22,15,100,29,1,84,0,4,28,39.2,12,44,Routine Antenatal / Minor Infection / General Checkup,2.4,33.7,18.9,22.4,9.4,7.5,4.6,114,Clear / Pleasant,27.0
1996-01-31,Small Rural (Delhi Outskirts),Slightly Busy,9,Off-Season / Sowing,40,97,3,10,18,7,186,6,1,62,74.8,1,6,Viral Fever,3.5,32.4,26.0,36.0,9.6,5.1,11.5,155,Dust Storm,29.9
1996-02-01,Big Rural (Delhi Outskirts),Not Busy,5,Active Harvest Season,135,11,15,100,40,1,18,0,2,9,39.2,19,34,Routine Antenatal / Minor Infection / General Checkup,3.8,31.1,29.6,36.6,32.9,19.8,3.3,62,Clear / Pleasant,22.3
1996-02-01,Small Rural (Delhi Outskirts),Extremely Busy,7,Off-Season / Sowing,85,106,3,10,33,16,936,11,0,312,96.9,2,7,Snakebite / Waterborne (Cholera/Typhoid),3.0,53.6,34.6,35.2,8.6,5.3,8.5,109,Heavy Monsoon / Flooded Fields,32.5
1996-02-02,Big Rural (Delhi Outskirts),Slightly Busy,3,Off-Season / Sowing,212,61,15,100,78,30,62,18,4,62,89.3,14,36,Gastroenteritis,3.4,32.6,25.5,33.4,6.1,5.1,3.7,277,Dust Storm,11.5
1996-02-02,Small Rural (Delhi Outskirts),Slightly Busy,7,Off-Season / Sowing,41,52,3,10,17,9,206,7,1,103,82.7,2,4,Minor Farm Trauma,1.2,34.3,20.5,26.9,5.1,2.3,19.0,202,Dry Cold,39.1
1996-02-03,Big Rural (Delhi Outskirts),Slightly Busy,2,Off-Season / Sowing,242,68,15,100,53,24,189,22,1,63,88.5,14,50,Gastroenteritis,4.3,45.4,23.0,25.2,9.3,4.4,3.4,333,Warm/Humid,18.7
1996-02-03,Small Rural (Delhi Outskirts),Slightly Busy,2,Off-Season / Sowing,49,61,3,10,17,8,348,7,1,116,90.2,2,5,Pesticide Exposure (Mild),3.3,48.8,24.4,17.4,7.2,6.7,4.4,168,Light Rain,24.4
1996-02-04,Big Rural (Delhi Outskirts),Not Busy,9,Off-Season / Sowing,144,40,15,100,70,0,10,0,1,5,48.2,17,35,Routine Antenatal / Minor Infection / General Checkup,3.0,53.3,34.5,29.1,8.8,6.8,11.8,117,Clear / Pleasant,29.3
1996-02-04,Small Rural (Delhi Outskirts),Slightly Busy,11,Active Harvest Season,53,77,3,10,17,9,357,6,0,119,76.9,1,8,Gastroenteritis,3.7,57.7,31.0,36.1,36.6,22.8,1.3,347,Warm/Humid,27.1
1996-02-05,Big Rural (Delhi Outskirts),Not Busy,9,Off-Season / Sowing,91,34,15,100,24,2,36,1,2,36,39.4,12,37,Routine Antenatal / Minor Infection / General Checkup,12.5,34.6,23.0,33.9,6.9,5.7,9.0,72,Clear / Pleasant,23.0
1996-02-05,Small Rural (Delhi Outskirts),Slightly Busy,12,Off-Season / Sowing,50,93,3,10,11,4,174,3,1,58,75.2,2,6,Viral Fever,4.0,45.0,33.5,34.5,3.1,6.6,2.3,178,Light Rain,15.8
1996-02-06,Big Rural (Delhi Outskirts),Not Busy,7,Off-Season / Sowing,139,20,15,100,48,1,105,0,4,35,46.1,12,39,Routine Antenatal / Minor Infection / General Checkup,7.4,47.7,16.2,30.0,9.5,2.1,15.6,50,Clear / Pleasant,22.1
1996-02-06,Small Rural (Delhi Outskirts),Not Busy,12,Off-Season / Sowing,15,35,3,10,5,1,21,0,0,7,30.2,3,4,Routine Antenatal / Minor Infection / General Checkup,3.3,57.7,15.5,16.9,8.1,7.7,4.0,71,Clear / Pleasant,23.6
1996-02-07,Big Rural (Delhi Outskirts),Not Busy,4,Active Harvest Season,148,17,15,100,56,1,99,0,1,33,33.5,12,28,Routine Antenatal / Minor Infection / General Checkup,4.9,46.4,32.8,25.1,32.6,20.7,4.1,124,Clear / Pleasant,21.2
1996-02-07,Small Rural (Delhi Outskirts),Slightly Busy,7,Off-Season / Sowing,47,77,3,10,20,8,220,6,0,110,76.9,3,5,Viral Fever,4.9,59.5,23.5,32.1,8.1,4.5,20.0,299,Dry Cold,12.1
1996-02-08,Big Rural (Delhi Outskirts),Extremely Busy,10,Active Harvest Season,378,114,15,100,184,110,247,94,4,247,95.6,15,30,Severe COPD / Asthma (Stubble Smoke),14.0,58.5,34.4,26.0,31.4,18.6,3.6,874,Heavy Smog / Post-Harvest Burning,22.7
1996-02-08,Small Rural (Delhi Outskirts),Extremely Busy,7,Off-Season / Sowing,87,185,3,10,29,11,614,6,0,307,98.9,1,3,Snakebite / Waterborne (Cholera/Typhoid),4.5,46.7,33.1,34.5,7.6,6.4,15.0,80,Heavy Monsoon / Flooded Fields,28.7
1996-02-09,Big Rural (Delhi Outskirts),Not Busy,3,Off-Season / Sowing,146,33,15,100,39,1,45,0,2,15,40.0,10,47,Routine Antenatal / Minor Infection / General Checkup,13.0,45.8,20.8,38.9,8.2,3.0,5.0,130,Clear / Pleasant,27.3
1996-02-09,Small Rural (Delhi Outskirts),Not Busy,5,Active Harvest Season,28,21,3,10,11,1,7,0,0,7,66.5,1,5,Routine Antenatal / Minor Infection / General Checkup,2.5,32.8,16.1,16.5,16.7,16.4,1.8,97,Clear / Pleasant,29.2
1996-02-10,Big Rural (Delhi Outskirts),Not Busy,9,Off-Season / Sowing,64,33,15,100,26,0,29,0,4,29,34.7,12,47,Routine Antenatal / Minor Infection / General Checkup,10.2,41.7,26.8,31.8,6.1,2.5,10.5,140,Clear / Pleasant,26.2
1996-02-10,Small Rural (Delhi Outskirts),Not Busy,5,Active Harvest Season,24,32,3,10,6,0,15,0,1,15,42.4,1,6,Routine Antenatal / Minor Infection / General Checkup,1.8,55.4,22.0,39.8,25.5,20.6,2.7,138,Clear / Pleasant,23.1
1996-02-11,Big Rural (Delhi Outskirts),Not Busy,2,Off-Season / Sowing,88,0,15,100,38,2,16,1,3,8,53.7,14,43,Routine Antenatal / Minor Infection / General Checkup,7.0,49.7,29.9,16.6,5.2,7.0,3.5,73,Clear / Pleasant,24.9
1996-02-11,Small Rural (Delhi Outskirts),Slightly Busy,11,Active Harvest Season,45,54,3,10,19,10,142,8,0,71,71.8,1,4,Pesticide Exposure (Mild),0.8,45.8,31.4,34.0,18.1,20.9,4.1,168,Dust Storm,10.3
1996-02-12,Big Rural (Delhi Outskirts),Not Busy,4,Active Harvest Season,139,27,15,100,36,2,57,1,1,19,30.4,19,29,Routine Antenatal / Minor Infection / General Checkup,12.2,44.4,16.5,22.0,25.1,16.2,1.5,77,Clear / Pleasant,28.7
1996-02-12,Small Rural (Delhi Outskirts),Not Busy,12,Off-Season / Sowing,22,35,3,10,6,0,22,0,0,11,43.5,1,4,Routine Antenatal / Minor Infection / General Checkup,3.2,44.4,25.8,36.5,9.4,3.0,1.3,133,Clear / Pleasant,20.1
1996-02-13,Big Rural (Delhi Outskirts),Not Busy,2,Off-Season / Sowing,147,42,15,100,59,2,18,1,2,18,40.3,19,45,Routine Antenatal / Minor Infection / General Checkup,12.4,40.9,34.6,18.9,6.6,4.9,4.5,61,Clear / Pleasant,28.4
1996-02-13,Small Rural (Delhi Outskirts),Slightly Busy,10,Active Harvest Season,49,97,3,10,20,13,64,11,0,64,90.1,3,4,Minor Farm Trauma,4.1,30.2,24.0,30.7,23.2,15.0,1.9,297,Light Rain,11.0
1996-02-14,Big Rural (Delhi Outskirts),Slightly Busy,1,Off-Season / Sowing,157,85,15,100,54,21,120,17,1,60,89.0,14,37,Gastroenteritis,4.1,40.9,19.2,15.5,5.7,2.8,1.0,248,Dry Cold,17.6
1996-02-14,Small Rural (Delhi Outskirts),Slightly Busy,3,Off-Season / Sowing,58,71,3,10,24,10,258,7,1,86,89.5,3,8,Pesticide Exposure (Mild),2.5,40.7,22.1,21.4,8.8,2.3,3.3,304,Warm/Humid,24.7
1996-02-15,Big Rural (Delhi Outskirts),Extremely Busy,11,Active Harvest Season,393,192,15,100,127,89,910,80,3,455,97.2,10,28,Severe COPD / Asthma (Stubble Smoke),6.0,38.5,30.4,36.4,33.8,22.3,2.3,552,Heavy Smog / Post-Harvest Burning,27.8
1996-02-15,Small Rural (Delhi Outskirts),Not Busy,7,Off-Season / Sowing,30,41,3,10,6,0,42,0,0,21,41.2,2,8,Routine Antenatal / Minor Infection / General Checkup,4.3,42.1,24.3,16.1,9.7,5.3,11.6,149,Clear / Pleasant,27.4
1996-02-16,Big Rural (Delhi Outskirts),Slightly Busy,2,Off-Season / Sowing,186,86,15,100,73,28,126,22,2,63,70.3,12,36,Pesticide Exposure (Mild),5.6,56.2,16.9,35.7,7.8,6.3,1.3,258,Dust Storm,21.1
1996-02-16,Small Rural (Delhi Outskirts),Not Busy,2,Off-Season / Sowing,31,30,3,10,6,1,96,0,0,32,57.2,1,5,Routine Antenatal / Minor Infection / General Checkup,0.4,36.3,27.0,18.9,3.0,5.2,1.6,99,Clear / Pleasant,20.7
1996-02-17,Big Rural (Delhi Outskirts),Extremely Busy,10,Active Harvest Season,319,180,15,100,70,38,254,28,3,254,95.3,8,24,Severe COPD / Asthma (Stubble Smoke),11.2,34.6,34.3,20.5,25.1,24.2,4.7,978,Heavy Smog / Post-Harvest Burning,26.0
1996-02-17,Small Rural (Delhi Outskirts),Not Busy,2,Off-Season / Sowing,33,49,3,10,6,0,68,0,0,34,62.8,1,6,Routine Antenatal / Minor Infection / General Checkup,3.4,42.9,19.5,26.1,3.6,2.0,4.8,73,Clear / Pleasant,29.0
1996-02-18,Big Rural (Delhi Outskirts),Not Busy,1,Off-Season / Sowing,63,42,15,100,16,2,81,1,4,27,45.2,10,31,Routine Antenatal / Minor Infection / General Checkup,14.0,33.3,33.6,15.8,8.4,2.5,2.4,84,Clear / Pleasant,21.6
1996-02-18,Small Rural (Delhi Outskirts),Extremely Busy,8,Off-Season / Sowing,61,170,3,10,25,14,1413,9,1,471,99.3,1,2,Snakebite / Waterborne (Cholera/Typhoid),4.7,47.2,32.3,19.5,2.3,4.7,9.8,73,Heavy Monsoon / Flooded Fields,30.4
1996-02-19,Big Rural (Delhi Outskirts),Slightly Busy,2,Off-Season / Sowing,212,64,15,100,47,29,170,27,1,85,89.8,17,43,Pesticide Exposure (Mild),14.6,33.7,22.4,19.4,9.7,6.3,4.0,186,Warm/Humid,40.3
1996-02-19,Small Rural (Delhi Outskirts),Not Busy,12,Off-Season / Sowing,31,41,3,10,6,1,72,0,1,24,47.8,2,5,Routine Antenatal / Minor Infection / General Checkup,0.0,40.8,23.8,39.4,7.8,7.7,2.5,145,Clear / Pleasant,28.8
