ed_pts,ed_beds,admits,hosp_beds,vents,longest_wait,last_wait,nedocs_score,ambient_noise_db,arrival_velocity,equipment_chaos_index,target
41,40,4,350,2,2.42,0.54,146.5,78.0,0.11,0.1,130.8
38,40,3,350,1,3.39,0.48,101.2,66.9,0.39,2.3,117.5
34,40,6,350,0,2.13,1.22,128.8,65.8,0.16,2.1,134.5
38,40,0,350,2,1.36,1.42,103.6,73.1,0.12,2.8,200.0
26,40,2,350,2,1.71,1.41,124.7,71.9,0.21,2.6,153.2
45,40,5,350,0,1.59,0.34,188.4,60.7,0.37,0.6,102.2
35,40,0,350,2,2.19,1.27,140.9,79.1,0.14,1.1,205.0
32,40,6,350,2,0.61,0.46,94.6,64.4,0.24,0.2,106.8
35,40,4,350,1,3.2,1.14,199.0,66.6,0.21,1.8,81.6
22,40,3,350,2,1.95,1.3,102.5,68.8,2.97,2.0,180.9
25,40,2,350,0,1.57,0.44,72.2,53.5,0.41,2.4,155.6
43,40,2,350,2,1.59,0.29,129.3,77.1,0.11,1.6,150.8
30,40,3,350,2,1.82,1.39,141.0,64.7,0.34,8.2,182.5
40,40,4,350,2,3.47,0.97,143.6,71.0,2.87,0.0,143.4
42,40,2,350,1,2.79,1.14,148.7,64.9,0.45,1.0,164.6
28,40,0,350,1,2.05,0.74,100.3,64.3,0.38,0.9,109.2
44,40,0,350,2,3.37,0.48,154.4,64.9,0.41,8.8,154.2
29,40,5,350,2,2.6,0.94,100.3,61.1,0.13,0.7,159.3
25,40,0,350,2,2.82,1.09,117.2,62.2,0.15,0.5,93.5
40,40,5,350,1,1.85,1.39,154.9,64.5,0.39,1.8,219.2
40,40,2,350,0,2.93,1.35,89.5,68.6,0.4,7.2,147.5
24,40,1,350,2,1.8,0.35,207.0,71.4,0.4,2.0,174.7
33,40,4,350,0,2.37,1.08,116.3,68.2,0.33,1.6,245.4
32,40,1,350,0,1.26,1.08,161.7,58.5,0.47,7.1,152.1
41,40,5,350,0,2.18,0.6,234.9,67.8,0.32,1.9,115.4
33,40,5,350,1,2.74,0.35,120.2,67.5,0.21,2.9,130.0
32,40,4,350,1,2.06,1.34,103.9,70.3,0.36,2.1,97.8
37,40,2,350,1,3.1,1.46,116.7,67.1,0.29,2.6,67.4
36,40,0,350,0,1.24,0.95,85.0,59.5,0.28,1.0,108.1
25,40,0,350,0,2.18,0.26,53.9,55.1,0.41,2.0,159.6
24,40,3,350,2,3.06,0.68,100.4,70.6,0.38,0.7,108.4
36,40,6,350,2,0.83,0.45,146.5,70.2,0.48,1.2,107.3
26,40,0,350,2,2.93,0.66,100.2,75.4,0.26,0.6,79.4
33,40,6,350,1,2.25,0.39,95.9,61.8,0.27,2.5,250.0
26,40,3,350,0,0.79,1.48,73.4,58.4,0.15,0.9,80.1
29,40,6,350,0,2.42,1.11,250.0,60.4,0.11,1.4,118.3
28,40,5,350,1,1.17,0.73,74.7,67.8,0.16,7.1,131.0
35,40,5,350,0,0.76,0.42,111.7,65.1,0.3,0.7,132.4
22,40,5,350,1,2.76,1.03,103.7,68.0,0.44,0.1,85.4
38,40,0,350,1,1.49,1.38,125.5,82.0,0.45,0.3,91.7
27,40,6,350,1,0.98,0.43,78.4,70.3,0.21,0.7,216.6
28,40,6,350,0,2.06,1.03,83.9,66.9,0.49,0.2,124.4
24,40,4,350,2,2.46,1.21,211.0,68.4,0.16,0.6,86.4
35,40,5,350,2,3.23,0.97,116.3,55.7,0.33,0.3,107.7
33,40,0,350,0,1.72,0.34,81.9,58.5,0.21,1.0,152.2
35,40,0,350,0,3.32,0.97,101.7,65.2,0.23,1.9,166.2
44,40,3,350,2,3.04,1.02,145.5,73.2,2.99,2.1,204.2
41,40,6,350,1,3.13,0.43,156.1,72.1,2.47,1.5,181.6
45,40,5,350,1,2.99,0.91,152.0,69.0,0.11,2.4,250.0
37,40,0,350,1,2.28,1.48,139.3,73.1,0.16,2.0,120.3
37,40,6,350,1,1.84,0.85,239.9,68.6,0.3,0.1,101.9
24,40,1,350,2,0.72,0.88,110.9,60.4,0.44,7.1,206.6
32,40,0,350,0,3.23,1.41,97.1,54.9,0.16,2.7,128.6
31,40,5,350,0,1.32,0.64,175.1,58.7,2.83,0.3,163.2
36,40,2,350,1,3.0,1.05,116.7,68.5,0.24,2.0,79.1
32,40,6,350,1,2.99,0.78,119.7,72.2,0.36,1.1,227.8
32,40,1,350,0,1.35,0.65,68.5,66.7,0.36,1.4,101.9
42,40,4,350,1,2.07,0.97,218.6,65.5,0.35,0.2,137.8
28,40,1,350,1,2.95,1.45,91.6,57.2,0.39,0.9,126.4
39,40,1,350,1,1.61,0.86,131.9,67.2,0.29,1.2,148.2
34,40,0,350,2,3.5,0.63,117.4,72.1,0.13,2.6,121.4
38,40,4,350,2,0.69,0.29,139.7,62.4,2.4,0.0,181.5
28,40,6,350,2,2.42,1.01,110.3,71.1,0.39,0.8,94.8
38,40,0,350,2,1.79,0.64,145.5,75.0,0.25,1.2,124.4
31,40,1,350,1,2.25,1.02,86.2,62.0,0.26,1.2,200.6
26,40,6,350,2,0.88,0.68,116.5,64.2,0.11,0.3,100.7
36,40,6,350,0,3.18,0.31,192.5,71.9,2.28,0.2,182.9
34,40,3,350,0,1.2,0.6,98.0,68.1,1.13,1.3,121.9
42,40,5,350,1,2.42,0.63,148.0,74.7,0.5,0.1,218.2
41,40,0,350,0,3.22,0.49,100.4,65.4,0.32,1.6,124.4
26,40,3,350,1,3.17,0.39,210.4,64.3,0.1,2.3,76.8
44,40,0,350,1,3.23,0.45,114.0,64.6,1.98,2.1,103.8
20,40,1,350,1,3.38,0.84,67.2,66.4,0.19,1.7,116.0
29,40,1,350,0,0.96,0.7,66.8,58.9,0.25,1.4,119.6
37,40,6,350,1,2.44,1.22,107.2,70.8,0.16,0.2,131.1
38,40,2,350,2,1.91,0.96,110.9,68.4,0.33,2.5,78.0
34,40,6,350,1,2.73,1.47,128.0,57.2,0.18,1.8,147.1
27,40,0,350,0,1.72,1.36,64.3,59.4,0.31,0.0,142.2
43,40,0,350,1,3.13,0.28,138.1,79.0,0.15,2.1,131.4
31,40,3,350,1,2.94,1.41,137.5,68.5,0.24,1.9,138.6
37,40,3,350,2,3.18,0.58,121.8,78.6,0.2,2.7,98.9
29,40,6,350,1,2.12,0.47,128.4,72.8,0.44,1.8,94.0
21,40,3,350,2,2.55,1.49,86.4,70.0,0.37,0.1,138.4
24,40,3,350,1,1.51,1.16,81.1,62.5,2.96,1.4,208.3
32,40,3,350,1,3.17,0.52,132.5,65.0,0.24,1.5,100.8
43,40,2,350,2,1.39,1.33,159.0,69.4,0.16,1.1,151.6
23,40,6,350,1,1.91,1.36,91.9,53.9,0.14,0.6,112.5
39,40,0,350,2,3.04,0.99,145.4,70.6,0.14,0.3,101.4
34,40,4,350,0,3.39,1.23,108.3,65.9,2.13,1.4,250.0
23,40,4,350,0,2.72,1.15,98.3,66.0,0.17,2.9,165.7
36,40,2,350,2,1.35,0.76,228.0,73.1,0.16,2.9,153.6
22,40,3,350,0,1.85,1.09,153.0,54.9,0.21,2.9,244.8
45,40,0,350,2,2.39,0.34,141.1,79.3,0.33,1.9,92.8
29,40,4,350,2,0.53,0.65,231.5,59.8,0.33,2.6,103.2
20,40,5,350,2,2.29,1.14,81.2,61.4,1.01,0.7,145.0
23,40,3,350,2,0.76,1.41,89.1,60.6,0.22,2.3,245.0
36,40,6,350,2,2.63,0.38,127.4,65.0,0.3,1.0,122.6
44,40,6,350,1,2.97,0.31,233.7,75.1,0.49,1.4,141.8
39,40,3,350,0,2.78,1.01,114.6,61.2,0.48,0.1,127.0
32,40,2,350,2,3.15,0.27,129.5,68.4,0.17,1.0,136.0
44,40,0,350,1,1.37,1.34,119.4,65.7,0.39,2.3,185.7
40,40,1,350,1,1.99,0.44,130.0,62.0,1.12,2.3,122.0
33,40,0,350,0,0.63,1.03,171.8,68.7,0.23,0.1,96.8
24,40,1,350,2,0.96,1.23,97.2,68.5,0.27,2.6,129.4
22,40,2,350,2,3.33,1.03,93.0,57.8,0.14,0.2,117.1
39,40,5,350,2,0.58,0.95,116.3,72.2,0.18,0.6,101.5
28,40,6,350,1,1.77,0.96,114.3,66.6,0.47,2.6,115.2
41,40,0,350,0,0.56,0.27,96.7,64.8,0.3,2.5,86.8
33,40,6,350,0,0.65,1.04,99.0,69.0,0.25,2.8,147.2
26,40,5,350,0,1.82,0.64,73.6,59.9,0.42,0.7,84.8
39,40,5,350,2,3.1,1.07,133.7,72.2,0.43,2.5,122.3
34,40,3,350,0,3.37,1.04,76.1,66.3,0.26,7.4,182.5
38,40,6,350,0,2.78,0.9,107.1,60.1,0.19,2.3,188.7
42,40,5,350,2,2.9,1.03,152.7,76.7,0.3,2.2,109.6
43,40,6,350,2,1.94,1.44,177.8,76.0,0.4,0.8,89.9
38,40,2,350,0,0.59,0.87,97.4,66.3,0.31,9.4,163.8
21,40,1,350,1,1.67,0.28,81.1,65.2,0.45,2.2,123.0
45,40,6,350,1,1.92,0.26,126.3,78.1,0.34,0.3,105.0
35,40,1,350,0,0.7,1.19,108.6,54.6,0.1,0.9,124.2
26,40,5,350,0,1.46,1.48,98.8,60.3,0.21,1.7,188.2
33,40,4,350,2,2.27,1.08,119.6,70.6,0.36,2.7,125.4
27,40,3,350,0,1.67,1.35,179.1,66.3,0.35,2.2,120.2
39,40,3,350,0,3.42,0.55,110.5,65.0,0.26,2.2,98.1
45,40,1,350,1,3.24,1.27,107.2,60.4,0.37,9.7,226.5
24,40,3,350,1,0.5,1.38,86.5,66.3,0.46,2.1,165.8
32,40,3,350,1,3.07,1.12,187.0,58.4,2.87,1.2,209.2
34,40,2,350,2,3.07,0.88,151.6,67.7,0.44,1.3,100.9
44,40,4,350,1,2.25,0.72,162.0,68.6,0.43,0.2,167.7
25,40,1,350,2,0.6,0.55,89.8,61.0,0.32,7.9,150.0
45,40,2,350,1,3.29,0.68,160.6,83.5,0.16,2.9,113.6
31,40,3,350,2,3.35,1.29,117.6,67.5,0.3,0.3,114.6
41,40,2,350,1,1.56,0.39,101.0,74.7,0.27,2.6,132.6
35,40,3,350,0,1.31,0.53,109.1,65.5,0.37,0.7,113.0
28,40,6,350,0,1.51,1.25,119.4,58.9,0.13,0.6,165.5
27,40,2,350,2,2.74,0.39,105.0,68.8,0.44,1.9,82.4
29,40,0,350,0,0.68,1.09,161.5,65.2,0.45,10.0,166.6
23,40,4,350,0,3.27,0.36,69.2,51.7,2.03,2.0,153.8
28,40,5,350,2,1.2,0.89,124.8,68.0,0.3,0.7,184.0
36,40,1,350,2,1.49,0.71,116.3,68.4,0.24,1.8,100.9
33,40,6,350,0,2.16,1.37,177.0,63.4,0.27,0.7,145.3
30,40,2,350,0,1.93,0.65,91.0,57.5,0.4,2.4,108.7
22,40,3,350,0,2.14,0.54,138.8,56.0,0.18,9.6,214.5
24,40,6,350,1,0.57,0.89,94.3,62.2,1.2,2.7,120.6
29,40,3,350,1,2.53,0.88,178.2,62.4,0.29,9.8,168.0
25,40,6,350,2,1.94,0.84,93.2,70.8,0.3,2.0,112.5
42,40,2,350,1,1.18,0.84,129.4,68.1,0.26,1.9,101.6
37,40,4,350,0,3.06,1.25,101.0,65.5,0.46,8.6,194.8
34,40,6,350,0,2.88,1.2,91.0,60.6,0.44,1.7,128.8
39,40,6,350,1,2.28,0.9,157.8,69.5,0.43,1.8,87.6
23,40,0,350,2,0.77,0.65,116.3,55.1,0.42,2.9,114.0
24,40,3,350,0,1.52,1.0,74.9,57.7,2.34,1.0,233.8
29,40,5,350,1,1.18,1.16,97.6,61.5,1.49,2.0,247.6
39,40,6,350,0,1.65,0.33,195.2,64.5,0.41,2.7,110.1
42,40,2,350,1,1.51,0.38,218.3,66.3,3.0,0.3,250.0
37,40,1,350,2,1.19,0.98,94.5,69.2,0.43,1.3,87.0
45,40,0,350,1,2.39,1.23,250.0,73.9,0.47,2.1,115.9
21,40,2,350,0,1.3,0.87,76.0,65.6,0.14,1.7,97.1
30,40,5,350,1,1.77,1.48,101.5,64.6,0.27,0.9,81.1
28,40,0,350,0,1.41,0.7,89.1,47.8,0.48,2.2,115.7
20,40,5,350,0,1.47,0.26,73.9,65.6,0.18,0.7,75.2
20,40,2,350,2,2.0,1.11,100.8,63.7,0.29,1.7,205.1
21,40,6,350,0,3.27,1.47,70.1,59.5,0.42,9.2,141.5
22,40,1,350,0,2.94,0.57,194.8,51.8,0.37,1.8,160.6
22,40,2,350,2,2.67,0.94,103.0,60.2,0.45,0.3,140.1
21,40,4,350,1,0.81,0.49,148.7,57.2,0.31,1.1,115.6
43,40,2,350,2,2.43,0.52,132.3,65.2,0.16,0.3,90.9
22,40,2,350,2,0.52,0.37,107.1,70.1,2.46,2.4,144.0
21,40,2,350,2,2.81,1.45,87.4,68.9,0.46,0.4,97.4
28,40,5,350,2,3.27,1.08,98.7,63.7,0.45,3.0,151.4
20,40,2,350,2,2.83,1.34,89.1,61.8,0.21,0.4,114.8
37,40,5,350,1,2.1,0.52,134.2,65.8,0.25,1.2,63.8
31,40,4,350,0,1.44,0.39,110.3,72.3,0.2,2.8,78.2
23,40,0,350,0,1.17,1.25,55.8,58.5,0.29,2.5,144.6
29,40,2,350,0,1.97,0.62,65.4,66.3,0.41,2.8,234.8
26,40,3,350,2,2.25,1.36,131.5,69.1,0.24,1.9,135.0
44,40,4,350,2,2.07,1.17,218.9,70.4,0.29,2.5,96.0
35,40,6,350,0,0.62,0.54,124.8,57.5,0.48,0.5,69.8
32,40,2,350,1,1.71,0.36,82.9,65.4,0.2,2.2,93.3
20,40,1,350,0,1.85,0.37,60.8,65.4,0.32,2.6,77.4
26,40,2,350,1,1.78,1.14,82.6,62.7,0.47,1.4,191.9
20,40,5,350,0,2.73,1.13,63.5,52.2,0.49,2.8,120.2
23,40,0,350,0,2.51,0.48,179.9,54.3,1.58,2.7,166.3
32,40,6,350,2,2.19,0.7,103.1,71.0,0.11,1.7,141.4
38,40,2,350,1,2.22,1.39,133.2,65.3,0.4,0.7,92.8
35,40,2,350,2,3.05,0.48,133.8,62.5,0.22,2.5,105.2
25,40,6,350,1,1.44,1.3,84.3,60.1,0.49,2.8,154.6
23,40,6,350,1,3.36,0.77,93.2,62.1,0.31,1.8,185.6
37,40,1,350,2,3.16,0.5,137.4,74.9,0.17,0.4,91.0
21,40,1,350,2,2.17,0.41,174.6,66.8,0.45,0.4,127.4
35,40,1,350,0,0.58,0.92,87.1,57.7,0.19,2.9,136.7
34,40,6,350,1,3.24,0.49,119.3,67.1,0.21,1.5,156.5
42,40,3,350,2,1.61,0.92,123.7,66.6,0.21,0.1,71.8
40,40,4,350,1,0.84,1.19,148.1,62.2,0.14,2.5,125.0
21,40,3,350,0,3.39,0.83,68.3,57.1,0.46,9.8,173.6
36,40,2,350,1,2.19,0.58,114.2,66.6,0.33,2.4,197.8
45,40,1,350,1,0.61,0.47,132.4,62.4,0.25,10.0,131.0
30,40,5,350,1,2.75,0.81,184.4,59.8,0.35,2.7,108.1
21,40,2,350,2,2.02,1.26,92.2,74.5,0.25,0.3,109.4
33,40,3,350,0,2.48,0.75,93.4,70.8,0.18,2.5,229.4
38,40,4,350,2,1.38,0.96,104.6,66.7,0.48,0.4,153.2
43,40,5,350,1,2.18,0.77,217.9,61.9,0.21,1.5,130.0
37,40,4,350,2,2.98,0.83,144.6,67.8,0.12,0.1,217.8
31,40,5,350,2,3.18,0.4,121.6,67.4,0.4,1.7,159.0
30,40,2,350,0,1.71,0.8,215.6,66.5,0.31,1.0,140.6
41,40,6,350,2,2.53,0.26,147.0,67.5,1.61,0.4,109.6
39,40,0,350,2,2.68,0.71,132.4,64.7,0.4,1.7,120.6
20,40,3,350,1,1.72,1.15,84.0,64.4,0.14,3.0,139.7
32,40,3,350,2,3.32,1.44,108.6,75.0,0.2,3.0,85.7
41,40,3,350,0,0.86,1.19,127.1,68.0,0.2,0.1,97.9
33,40,5,350,0,2.92,0.9,72.2,59.6,0.17,2.1,121.0
21,40,6,350,2,2.09,0.95,94.6,64.8,0.12,9.2,137.5
44,40,0,350,0,2.67,1.29,111.1,64.7,0.47,0.1,93.4
28,40,1,350,2,2.86,0.46,103.5,71.5,0.29,0.2,80.0
22,40,0,350,2,2.86,0.85,86.0,57.1,0.18,2.7,120.0
23,40,0,350,1,2.9,0.99,75.0,65.9,0.25,2.9,158.0
33,40,3,350,1,1.06,0.97,107.9,65.5,0.35,1.8,88.6
34,40,5,350,2,3.1,1.25,144.1,65.2,2.72,2.0,175.0
24,40,4,350,0,0.79,0.46,77.1,69.2,0.15,0.6,154.8
41,40,3,350,2,2.03,1.1,127.2,79.2,0.31,2.8,141.2
40,40,5,350,2,2.43,1.14,150.4,71.9,0.4,1.8,86.6
34,40,6,350,0,3.0,0.81,126.7,63.2,0.28,2.3,72.0
22,40,3,350,1,2.53,0.28,74.3,54.6,0.35,0.6,130.8
26,40,3,350,0,2.66,0.51,59.8,54.6,0.17,1.6,45.2
35,40,4,350,2,1.78,0.66,123.5,57.4,0.29,8.0,140.0
20,40,4,350,0,0.98,0.65,37.0,56.7,0.43,8.7,177.6
31,40,5,350,0,0.51,0.98,107.6,62.6,0.25,0.1,250.0
39,40,1,350,2,1.76,0.34,140.7,72.6,0.11,0.2,67.4
43,40,4,350,0,0.59,1.44,250.0,71.1,0.5,0.6,146.9
24,40,3,350,1,3.37,0.72,65.0,65.2,0.18,1.6,101.3
36,40,0,350,2,2.3,1.36,137.3,64.9,0.17,1.4,134.8
25,40,6,350,1,1.28,1.43,93.0,61.0,0.33,7.5,121.0
29,40,3,350,2,0.96,1.45,127.3,71.2,0.14,1.3,113.6
31,40,1,350,0,2.87,1.36,89.8,66.9,0.16,0.5,86.4
24,40,1,350,2,0.63,1.1,107.0,69.0,0.2,1.1,99.2
23,40,6,350,0,1.3,0.85,82.2,63.5,0.42,2.3,250.0
29,40,6,350,1,2.56,0.72,92.4,60.6,0.2,9.0,115.1
36,40,0,350,2,1.41,0.78,250.0,74.6,0.33,0.7,109.8
37,40,3,350,0,0.93,0.47,80.6,69.7,0.14,1.2,94.7
23,40,1,350,1,2.8,1.4,102.4,70.5,1.41,1.5,124.3
30,40,2,350,0,0.8,1.06,88.4,56.9,0.19,2.3,143.0
25,40,3,350,1,0.97,1.2,97.9,58.9,0.41,0.7,130.9
36,40,5,350,1,3.01,0.53,132.1,67.0,0.43,2.5,85.0
43,40,2,350,1,1.79,1.03,122.3,74.2,0.28,2.7,218.8
32,40,0,350,0,3.01,1.35,69.8,54.3,0.36,2.5,90.8
43,40,2,350,0,2.47,0.91,205.2,61.1,0.23,1.4,230.6
22,40,5,350,1,2.33,1.03,76.6,65.3,2.89,2.3,250.0
42,40,4,350,0,2.82,1.03,222.2,68.5,0.44,1.3,150.0
44,40,2,350,1,3.02,0.51,250.0,65.4,0.12,1.8,250.0
35,40,2,350,2,1.6,0.97,138.8,65.8,0.15,0.5,82.4
41,40,5,350,2,3.49,0.92,250.0,78.7,0.41,0.3,74.0
30,40,0,350,0,2.52,1.47,78.4,60.7,0.27,0.3,141.3
31,40,3,350,0,1.28,1.1,66.8,72.0,0.36,1.3,97.9
42,40,2,350,2,2.84,1.0,136.2,67.1,0.17,2.7,132.6
20,40,0,350,1,1.48,0.98,87.9,61.6,0.33,1.3,131.2
34,40,2,350,1,1.98,0.65,120.6,68.1,0.14,2.0,150.2
38,40,3,350,2,1.69,0.52,121.7,66.6,0.49,1.7,129.1
43,40,0,350,2,1.48,1.1,141.1,71.5,0.19,0.1,125.4
41,40,0,350,0,1.61,0.45,115.8,68.3,0.1,2.6,177.7
42,40,5,350,0,2.27,1.28,122.2,70.4,0.29,0.6,95.4
44,40,3,350,2,2.19,1.32,167.1,69.4,0.25,1.9,165.3
38,40,2,350,1,1.41,0.76,89.0,61.6,0.35,2.9,110.4
36,40,2,350,2,2.86,1.27,154.9,60.8,0.48,0.6,112.5
22,40,4,350,1,2.13,1.05,95.0,57.4,0.18,2.8,108.4
26,40,2,350,2,2.08,0.66,103.2,59.7,0.2,2.5,123.6
25,40,1,350,1,1.39,1.11,95.9,59.3,0.48,0.3,103.4
27,40,3,350,2,2.4,1.15,111.9,71.8,0.49,1.9,215.7
42,40,1,350,0,2.14,1.46,95.2,59.4,0.15,0.1,120.7
40,40,5,350,0,2.22,1.09,201.7,56.9,0.19,7.8,155.0
39,40,0,350,0,2.98,0.54,118.1,61.9,2.03,2.6,182.4
29,40,1,350,2,1.46,0.83,124.8,72.2,0.45,0.6,84.6
45,40,3,350,1,2.45,1.43,142.9,78.0,0.41,1.3,182.1
35,40,3,350,0,0.52,1.12,75.7,69.1,0.15,0.8,218.4
25,40,5,350,0,1.17,1.44,171.4,57.7,0.2,2.8,151.4
41,40,6,350,0,2.28,0.64,213.3,55.5,0.37,9.0,156.6
41,40,5,350,0,1.77,1.35,138.6,67.3,0.26,0.1,104.2
20,40,2,350,2,2.3,0.64,119.5,64.5,0.44,1.8,123.0
29,40,1,350,0,1.5,1.06,99.9,65.1,0.28,1.5,106.0
40,40,0,350,0,3.21,1.36,110.1,68.8,0.36,2.0,158.9
22,40,0,350,2,1.58,0.58,96.5,56.8,0.33,2.2,116.6
43,40,0,350,2,2.76,0.36,146.5,72.0,0.23,0.3,200.3
31,40,5,350,1,2.58,0.75,103.9,66.4,0.11,1.0,73.4
36,40,6,350,1,2.43,1.15,195.8,58.6,0.14,1.7,205.0
26,40,4,350,0,2.09,1.28,68.3,60.2,0.24,7.8,156.9
24,40,6,350,2,0.52,0.55,197.0,73.2,0.11,0.6,131.4
41,40,1,350,0,3.08,1.18,126.0,65.1,0.39,9.2,85.2
42,40,0,350,1,3.5,0.27,127.6,69.5,2.03,0.5,199.4
21,40,5,350,0,1.36,0.74,47.2,58.8,0.33,8.3,195.7
26,40,4,350,2,1.43,0.46,167.2,61.6,2.0,10.0,222.6
21,40,2,350,2,0.71,1.3,161.7,68.4,0.11,0.7,143.1
43,40,6,350,1,3.3,0.6,157.6,70.7,0.34,0.9,109.6
32,40,6,350,2,0.81,1.38,139.0,67.9,0.35,1.6,111.6
41,40,0,350,0,1.25,0.94,101.4,64.6,0.28,0.9,140.8
40,40,3,350,0,2.87,1.19,100.7,64.8,0.16,2.4,142.1
32,40,6,350,2,2.48,0.82,133.5,72.5,0.18,0.5,93.6
40,40,1,350,0,3.0,1.13,131.3,72.5,0.2,2.8,142.6
32,40,1,350,1,1.53,0.96,89.2,69.4,0.42,2.1,173.0
41,40,2,350,2,1.67,0.55,129.8,67.7,0.29,0.7,159.8
23,40,2,350,0,3.16,1.46,159.4,56.1,0.19,0.6,108.4
45,40,4,350,2,2.29,0.45,153.0,77.1,0.34,1.5,116.2
40,40,2,350,1,2.76,1.05,103.4,69.5,0.21,1.6,150.8
35,40,2,350,0,0.69,1.17,105.9,69.7,0.41,2.1,91.1
42,40,2,350,1,2.24,0.69,142.1,60.4,2.7,0.0,131.6
20,40,0,350,1,3.24,1.31,77.6,64.1,0.24,0.2,131.1
39,40,2,350,0,1.61,0.7,91.1,68.1,0.49,1.5,156.8
31,40,5,350,2,0.77,0.34,126.8,64.7,0.49,0.0,154.6
45,40,6,350,0,1.9,1.25,144.2,65.8,0.25,0.2,198.5
40,40,5,350,2,1.85,1.02,147.3,64.3,0.36,1.2,167.5
33,40,1,350,1,1.1,1.38,194.1,62.8,0.22,0.1,88.8
44,40,6,350,2,0.93,1.11,157.9,71.3,1.19,0.6,218.2
21,40,4,350,1,1.08,0.57,85.2,70.2,0.29,0.6,81.6
32,40,5,350,0,2.28,1.33,198.2,63.1,0.15,2.4,107.0
24,40,6,350,0,3.39,0.96,75.2,58.0,0.36,2.6,111.5
34,40,4,350,1,0.55,0.4,96.4,78.8,0.49,1.6,188.5
29,40,3,350,2,2.33,0.85,97.0,58.7,0.26,0.2,57.7
45,40,6,350,2,1.58,1.26,175.6,73.8,0.36,1.2,113.5
22,40,5,350,0,2.35,0.45,53.1,58.1,0.35,2.2,134.0
32,40,2,350,1,1.19,1.41,103.9,63.8,0.29,0.9,136.5
45,40,5,350,0,3.34,1.05,121.1,67.6,0.18,1.3,99.0
41,40,6,350,0,2.06,0.32,129.0,65.3,0.34,2.7,112.8
41,40,4,350,0,0.92,0.45,91.7,71.9,0.46,0.8,126.8
24,40,3,350,0,1.67,0.58,98.2,61.9,0.43,7.7,155.2
35,40,4,350,2,1.28,0.46,117.1,62.8,0.39,7.4,219.4
27,40,6,350,2,2.21,1.07,121.8,66.7,0.27,2.7,182.5
33,40,4,350,1,1.2,0.46,187.6,65.9,0.16,2.8,175.8
21,40,5,350,0,1.94,0.75,169.0,59.3,0.41,7.5,187.2
21,40,4,350,1,2.39,0.84,163.6,55.4,0.39,2.9,224.2
41,40,1,350,2,2.52,1.04,154.8,72.2,0.25,0.7,134.1
42,40,1,350,2,1.46,1.16,208.2,75.2,0.38,1.4,194.2
33,40,0,350,2,1.0,0.67,127.9,72.1,0.22,1.3,91.6
22,40,6,350,1,1.69,0.86,183.6,60.7,0.17,0.2,103.4
28,40,1,350,2,1.29,0.46,83.8,68.8,0.34,2.2,68.0
25,40,1,350,0,0.99,1.49,100.2,61.8,0.27,1.5,202.9
20,40,2,350,1,3.32,0.98,55.2,49.7,0.21,0.4,173.5
22,40,5,350,2,2.96,1.1,193.6,64.5,0.11,2.8,124.4
