Date,Hospital_Type,Daily_Status_Label,Simulated_Month,Tourist_Season_Phase,Total_Patient_Volume,NEDOCS_Total_Score,NEDOCS_Param_1_ED_Total_Beds,NEDOCS_Param_2_Hospital_Total_Beds,NEDOCS_Param_3_ED_Patients_Count,NEDOCS_Param_4_Patients_Waiting_Admit,NEDOCS_Param_5_Longest_Wait_Minutes,NEDOCS_Param_6_Admitted_Waiting_Count,NEDOCS_Param_7_ED_Respirators_In_Use,Average_Wait_Time_Mins,Bed_Occupancy_Rate_%,Active_Doctors_On_Shift,Active_Nurses_On_Shift,Dominant_Chief_Complaint,High_Acuity_ESI_1_2_%,Average_Patient_Age,Pediatric_Patient_%,Geriatric_Patient_%,Total_Tourist_Patient_%,Medical_Tourist_Patient_%,Leisure_Tourist_Patient_%,Air_Quality_Index_AQI,Weather_Condition,Avg_Temperature_C
1/7/1996,Big Urban (Delhi),Not Busy,4,Off-Peak Tourist Season (Apr-Sep),297,24,60,850,77,3,78,2,19,39,56,40,116,Routine Health Checkup / Minor Elective Ailment,17.5,45.9,11,36.4,6.7,3.7,3,123,Clear / Sunny & Pleasant,23
1/7/1996,Small Urban (Delhi),Slightly Busy,6,Off-Peak Tourist Season (Apr-Sep),139,99,15,60,49,20,584,17,3,146,85.5,7,26,Gastrointestinal Infection,8.6,45.8,21.7,35.5,2.1,1.3,0.8,288,Light Rain / Humid,27.4
1/8/1996,Big Urban (Delhi),Not Busy,4,Off-Peak Tourist Season (Apr-Sep),371,17,60,850,101,3,50,2,16,25,44.1,50,106,Routine Health Checkup / Minor Elective Ailment,20.4,36,26.9,26.9,4.5,2.4,2.1,92,Clear / Sunny & Pleasant,27.8
1/8/1996,Small Urban (Delhi),Slightly Busy,4,Off-Peak Tourist Season (Apr-Sep),178,55,15,60,65,16,476,11,2,119,79.2,11,20,Viral Fever / Influenza,2.6,53.5,24.9,26.3,2.3,1.4,0.9,186,Light Rain / Humid,32
1/9/1996,Big Urban (Delhi),Not Busy,10,Peak Tourist Season (Oct-Mar),374,34,60,850,114,3,141,2,18,47,54,43,125,Routine Health Checkup / Minor Elective Ailment,13.2,30.4,25.9,20,18.3,11.1,7.2,85,Clear / Sunny & Pleasant,30.6
1/9/1996,Small Urban (Delhi),Not Busy,3,Peak Tourist Season (Oct-Mar),71,35,15,60,26,3,120,1,2,40,58.5,11,15,Routine Health Checkup / Minor Elective Ailment,4.5,38.9,24.3,34.7,2.8,1.8,1,73,Clear / Sunny & Pleasant,23.6
1/10/1996,Big Urban (Delhi),Not Busy,4,Off-Peak Tourist Season (Apr-Sep),377,19,60,850,141,3,132,2,18,33,69.9,46,111,Routine Health Checkup / Minor Elective Ailment,12.8,48.1,8.7,14.3,3.3,1.9,1.4,142,Clear / Sunny & Pleasant,26.1
1/10/1996,Small Urban (Delhi),Slightly Busy,2,Peak Tourist Season (Oct-Mar),157,55,15,60,57,19,278,14,1,139,76.5,7,16,Gastrointestinal Infection,5,43.8,22.7,31.5,4.5,2.6,1.9,339,Light Rain / Humid,30.1
1/11/1996,Big Urban (Delhi),Not Busy,2,Peak Tourist Season (Oct-Mar),255,5,60,850,64,1,126,0,9,42,62.9,42,106,Routine Health Checkup / Minor Elective Ailment,25,37.8,14.7,33.9,25.1,11.9,13.2,64,Clear / Sunny & Pleasant,30.8
1/11/1996,Small Urban (Delhi),Not Busy,2,Peak Tourist Season (Oct-Mar),89,1,15,60,29,1,114,0,3,38,64.7,9,17,Routine Health Checkup / Minor Elective Ailment,2,41.2,17.2,34.4,6.7,2.8,3.9,113,Clear / Sunny & Pleasant,26.2
1/12/1996,Big Urban (Delhi),Not Busy,10,Peak Tourist Season (Oct-Mar),396,12,60,850,138,3,32,1,12,16,70.4,54,129,Routine Health Checkup / Minor Elective Ailment,21.3,47,19.3,21.8,24.1,16.4,7.7,122,Clear / Sunny & Pleasant,21.1
1/12/1996,Small Urban (Delhi),Slightly Busy,3,Peak Tourist Season (Oct-Mar),179,91,15,60,57,14,303,9,1,101,82.3,11,14,Allergies / Minor Respiratory,5.9,46.4,22,15.4,6.1,3.3,2.8,236,Light Rain / Humid,38.6
1/13/1996,Big Urban (Delhi),Not Busy,10,Peak Tourist Season (Oct-Mar),312,43,60,850,111,3,120,1,17,40,64.5,40,101,Routine Health Checkup / Minor Elective Ailment,15.9,56.1,14.5,20.3,21.6,15.1,6.5,149,Clear / Sunny & Pleasant,28.3
1/13/1996,Small Urban (Delhi),Extremely Busy,12,Peak Tourist Season (Oct-Mar),189,155,15,60,60,32,560,26,1,280,97.4,7,19,Severe Asthma / COPD / Cardiac Crisis,2.1,56.6,11.3,17.5,7,2.9,4.1,778,Severe Smog / Cold Wave,8.8
1/14/1996,Big Urban (Delhi),Not Busy,4,Off-Peak Tourist Season (Apr-Sep),345,46,60,850,93,2,88,1,11,22,62.6,54,131,Routine Health Checkup / Minor Elective Ailment,10.8,29.4,18.7,16.7,8.3,3.7,4.6,150,Clear / Sunny & Pleasant,24.1
1/14/1996,Small Urban (Delhi),Not Busy,2,Peak Tourist Season (Oct-Mar),68,39,15,60,26,1,34,0,4,17,52.4,12,21,Routine Health Checkup / Minor Elective Ailment,4.1,33.5,21.1,19.3,6.9,4.2,2.7,142,Clear / Sunny & Pleasant,20.3
1/15/1996,Big Urban (Delhi),Not Busy,2,Peak Tourist Season (Oct-Mar),375,47,60,850,119,2,120,1,11,40,44.1,55,110,Routine Health Checkup / Minor Elective Ailment,7.9,33.6,16.2,27.2,27.9,12.8,15.1,107,Clear / Sunny & Pleasant,21.2
1/15/1996,Small Urban (Delhi),Not Busy,4,Off-Peak Tourist Season (Apr-Sep),55,35,15,60,15,3,196,1,3,49,48.3,9,18,Routine Health Checkup / Minor Elective Ailment,2,33.7,18.6,14.6,2.4,1.3,1.1,66,Clear / Sunny & Pleasant,25.9
1/16/1996,Big Urban (Delhi),Not Busy,3,Peak Tourist Season (Oct-Mar),344,33,60,850,133,2,152,1,18,38,40.6,55,131,Routine Health Checkup / Minor Elective Ailment,9.9,37.7,20.6,23.9,24.3,15.9,8.4,108,Clear / Sunny & Pleasant,25.2
1/16/1996,Small Urban (Delhi),Not Busy,10,Peak Tourist Season (Oct-Mar),96,23,15,60,38,1,96,0,1,24,47.4,9,24,Routine Health Checkup / Minor Elective Ailment,4.6,56.3,27.3,27.8,6.8,3.6,3.2,102,Clear / Sunny & Pleasant,25.2
1/17/1996,Big Urban (Delhi),Slightly Busy,6,Off-Peak Tourist Season (Apr-Sep),593,86,60,850,185,66,186,40,17,62,90.5,55,126,Gastrointestinal Infection,15.4,52.4,23.1,14.5,9.1,5.9,3.2,361,Warm / Dusty,31.1
1/17/1996,Small Urban (Delhi),Not Busy,2,Peak Tourist Season (Oct-Mar),99,37,15,60,29,0,120,0,4,30,68,11,27,Routine Health Checkup / Minor Elective Ailment,4.7,46.7,18.6,23.7,4.9,3.2,1.7,136,Clear / Sunny & Pleasant,28.3
1/18/1996,Big Urban (Delhi),Not Busy,2,Peak Tourist Season (Oct-Mar),255,0,60,850,75,0,24,0,13,12,55.3,53,125,Routine Health Checkup / Minor Elective Ailment,6.8,45.5,13.2,32.2,19.9,11.8,8.1,89,Clear / Sunny & Pleasant,27.7
1/18/1996,Small Urban (Delhi),Not Busy,2,Peak Tourist Season (Oct-Mar),56,34,15,60,16,2,96,1,3,32,40.3,9,17,Routine Health Checkup / Minor Elective Ailment,3.9,51.7,13.7,17.1,3.2,1.9,1.3,100,Clear / Sunny & Pleasant,27.5
1/19/1996,Big Urban (Delhi),Not Busy,4,Off-Peak Tourist Season (Apr-Sep),270,34,60,850,85,3,111,1,8,37,50.7,45,95,Routine Health Checkup / Minor Elective Ailment,22.4,31.2,10.2,14.5,3.4,1.8,1.6,133,Clear / Sunny & Pleasant,20.6
1/19/1996,Small Urban (Delhi),Not Busy,4,Off-Peak Tourist Season (Apr-Sep),57,36,15,60,17,2,64,1,4,32,72.3,7,15,Routine Health Checkup / Minor Elective Ailment,8,52.4,14,32.5,0.3,0.1,0.2,117,Clear / Sunny & Pleasant,23.2
1/20/1996,Big Urban (Delhi),Extremely Busy,12,Peak Tourist Season (Oct-Mar),950,164,60,850,285,152,728,124,20,364,99.9,36,93,Severe Asthma / COPD / Cardiac Crisis,13.7,48.7,22.2,12.5,20.6,11.5,9.1,717,Severe Smog / Cold Wave,9.3
1/20/1996,Small Urban (Delhi),Slightly Busy,12,Peak Tourist Season (Oct-Mar),147,51,15,60,58,15,288,12,3,96,78.7,8,15,Gastrointestinal Infection,7.8,44.8,25.4,28.4,4.6,2.7,1.9,171,Moderate Smog,40
1/21/1996,Big Urban (Delhi),Extremely Busy,8,Off-Peak Tourist Season (Apr-Sep),808,199,60,850,291,147,1952,83,16,488,99,48,134,Severe Dengue / Malaria / Cholera Outbreak,18.3,41.3,17.5,28.7,8.7,3.5,5.2,130,Heavy Monsoon / Waterlogging,32.4
1/21/1996,Small Urban (Delhi),Slightly Busy,7,Off-Peak Tourist Season (Apr-Sep),166,78,15,60,55,27,416,17,1,104,77,7,23,Orthopedic / Minor Trauma,4.6,33.6,19.9,35.9,1.2,0.7,0.5,335,Moderate Smog,32.9
1/22/1996,Big Urban (Delhi),Slightly Busy,10,Peak Tourist Season (Oct-Mar),671,52,60,850,237,127,292,64,9,73,77.3,45,107,Gastrointestinal Infection,14.3,37.8,26.8,17.9,14.8,9.8,5,258,Warm / Dusty,36.1
1/22/1996,Small Urban (Delhi),Not Busy,10,Peak Tourist Season (Oct-Mar),68,36,15,60,23,1,102,0,3,34,65.1,7,23,Routine Health Checkup / Minor Elective Ailment,6.8,47.5,13.3,34.6,3.9,2.6,1.3,132,Clear / Sunny & Pleasant,20.8
1/23/1996,Big Urban (Delhi),Not Busy,2,Peak Tourist Season (Oct-Mar),241,47,60,850,64,0,75,0,19,25,50.9,37,114,Routine Health Checkup / Minor Elective Ailment,9.3,45.3,19.3,25.8,13.9,9.6,4.3,87,Clear / Sunny & Pleasant,30.3
1/23/1996,Small Urban (Delhi),Not Busy,3,Peak Tourist Season (Oct-Mar),45,46,15,60,14,0,104,0,3,26,63.2,12,28,Routine Health Checkup / Minor Elective Ailment,4.5,35.4,10.8,36.9,4.4,3,1.4,76,Clear / Sunny & Pleasant,22.7
1/24/1996,Big Urban (Delhi),Slightly Busy,5,Off-Peak Tourist Season (Apr-Sep),464,69,60,850,174,90,200,59,11,100,87.3,44,95,Allergies / Minor Respiratory,14.8,29.2,16.2,17.3,8.1,4.8,3.3,193,Warm / Dusty,22.4
1/24/1996,Small Urban (Delhi),Slightly Busy,7,Off-Peak Tourist Season (Apr-Sep),116,65,15,60,35,13,120,9,1,60,79.7,10,23,Orthopedic / Minor Trauma,4.4,52,17.6,36.4,2.2,1.2,1,283,Warm / Dusty,30.6
1/25/1996,Big Urban (Delhi),Slightly Busy,3,Peak Tourist Season (Oct-Mar),564,95,60,850,157,80,292,64,11,73,89.9,43,102,Orthopedic / Minor Trauma,11.2,34.1,21.9,24.9,18.3,9.4,8.9,276,Pleasant Haze,20.4
1/25/1996,Small Urban (Delhi),Slightly Busy,2,Peak Tourist Season (Oct-Mar),171,65,15,60,46,19,330,11,4,110,76.9,6,19,Gastrointestinal Infection,7.1,55,12.7,32.3,3.3,1.4,1.9,349,Light Rain / Humid,27.8
1/26/1996,Big Urban (Delhi),Not Busy,10,Peak Tourist Season (Oct-Mar),295,15,60,850,103,3,62,2,14,31,63.9,49,128,Routine Health Checkup / Minor Elective Ailment,6.2,46.3,19.6,15.6,16,10,6,104,Clear / Sunny & Pleasant,23
1/26/1996,Small Urban (Delhi),Slightly Busy,1,Peak Tourist Season (Oct-Mar),136,87,15,60,46,13,138,9,1,69,77.3,12,15,Viral Fever / Influenza,7.9,38.5,9.3,32,2.7,1.4,1.3,203,Light Rain / Humid,18.2
1/27/1996,Big Urban (Delhi),Not Busy,10,Peak Tourist Season (Oct-Mar),234,47,60,850,77,2,84,1,16,42,40.7,44,90,Routine Health Checkup / Minor Elective Ailment,7.2,51,14.8,14.9,19.9,12.1,7.8,140,Clear / Sunny & Pleasant,30.4
1/27/1996,Small Urban (Delhi),Not Busy,10,Peak Tourist Season (Oct-Mar),55,45,15,60,20,1,56,0,2,14,57.4,12,28,Routine Health Checkup / Minor Elective Ailment,4.2,46.9,23.5,15.9,4.2,1.9,2.3,103,Clear / Sunny & Pleasant,28.3
1/28/1996,Big Urban (Delhi),Slightly Busy,2,Peak Tourist Season (Oct-Mar),668,60,60,850,236,140,356,88,14,89,87.4,53,93,Viral Fever / Influenza,10.5,45.4,13.3,36.4,18.9,9.7,9.2,202,Warm / Dusty,38.7
1/28/1996,Small Urban (Delhi),Slightly Busy,11,Peak Tourist Season (Oct-Mar),153,100,15,60,41,13,294,9,2,98,82.6,8,19,Orthopedic / Minor Trauma,3.5,48.5,25.8,28.6,5.8,3.9,1.9,248,Moderate Smog,24.5
1/29/1996,Big Urban (Delhi),Slightly Busy,10,Peak Tourist Season (Oct-Mar),670,54,60,850,228,118,588,100,9,147,80.9,55,104,Viral Fever / Influenza,20.7,31,21.7,32.4,13.5,9.3,4.2,306,Warm / Dusty,33.2
1/29/1996,Small Urban (Delhi),Slightly Busy,4,Off-Peak Tourist Season (Apr-Sep),114,55,15,60,45,22,435,11,4,145,87.4,9,18,Viral Fever / Influenza,5.2,30.1,13.2,18.7,1.8,0.9,0.9,354,Warm / Dusty,22.2
1/30/1996,Big Urban (Delhi),Slightly Busy,7,Off-Peak Tourist Season (Apr-Sep),602,54,60,850,208,72,369,60,8,123,77.2,39,119,Gastrointestinal Infection,16.2,30.2,18.5,17.2,9.8,4,5.8,288,Pleasant Haze,26.5
1/30/1996,Small Urban (Delhi),Not Busy,3,Peak Tourist Season (Oct-Mar),46,18,15,60,13,1,112,0,1,28,57,11,17,Routine Health Checkup / Minor Elective Ailment,5.1,45.2,9.8,25.8,6.1,4.1,2,103,Clear / Sunny & Pleasant,23
1/31/1996,Big Urban (Delhi),Slightly Busy,4,Off-Peak Tourist Season (Apr-Sep),459,90,60,850,130,43,182,36,14,91,84.1,50,127,Viral Fever / Influenza,24.4,36.3,22.1,29.1,8.6,3.5,5.1,189,Warm / Dusty,37.5
1/31/1996,Small Urban (Delhi),Not Busy,3,Peak Tourist Season (Oct-Mar),46,40,15,60,18,3,48,2,2,24,56.3,8,14,Routine Health Checkup / Minor Elective Ailment,1.5,48.5,26.2,13.9,6.6,2.8,3.8,97,Clear / Sunny & Pleasant,24.4
2/1/1996,Big Urban (Delhi),Not Busy,10,Peak Tourist Season (Oct-Mar),393,47,60,850,155,3,52,1,10,26,67.2,51,90,Routine Health Checkup / Minor Elective Ailment,17.7,39.7,18,16,15.1,9.3,5.8,122,Clear / Sunny & Pleasant,23.1
2/1/1996,Small Urban (Delhi),Not Busy,2,Peak Tourist Season (Oct-Mar),45,6,15,60,17,1,108,0,1,36,70.9,11,27,Routine Health Checkup / Minor Elective Ailment,4.5,56,28,37,3.2,1.4,1.8,90,Clear / Sunny & Pleasant,23.2
2/2/1996,Big Urban (Delhi),Extremely Busy,9,Off-Peak Tourist Season (Apr-Sep),894,176,60,850,310,121,920,94,22,460,98.2,32,84,Severe Dengue / Malaria / Cholera Outbreak,11.6,47.5,10,31.7,6.9,3.4,3.5,140,Heavy Monsoon / Waterlogging,28.9
2/2/1996,Small Urban (Delhi),Extremely Busy,9,Off-Peak Tourist Season (Apr-Sep),253,167,15,60,83,40,652,28,3,163,96.2,6,12,Severe Dengue / Malaria / Cholera Outbreak,6.7,46.3,8.7,29.4,0.8,0.4,0.4,125,Heavy Monsoon / Waterlogging,26.7
2/3/1996,Big Urban (Delhi),Slightly Busy,10,Peak Tourist Season (Oct-Mar),657,63,60,850,220,113,324,83,20,108,83,46,112,Allergies / Minor Respiratory,10.8,35.4,11.3,31.5,12.4,7.4,5,348,Pleasant Haze,30.3
2/3/1996,Small Urban (Delhi),Not Busy,4,Off-Peak Tourist Season (Apr-Sep),72,4,15,60,20,0,26,0,4,13,47,9,18,Routine Health Checkup / Minor Elective Ailment,6.5,40.7,17.5,25.7,0.1,0.1,0,63,Clear / Sunny & Pleasant,28
2/4/1996,Big Urban (Delhi),Extremely Busy,9,Off-Peak Tourist Season (Apr-Sep),783,101,60,850,197,64,909,32,27,303,99.1,30,84,Severe Dengue / Malaria / Cholera Outbreak,10.9,54.9,25.6,12.3,6.5,3.9,2.6,150,Heavy Monsoon / Waterlogging,32.8
2/4/1996,Small Urban (Delhi),Not Busy,10,Peak Tourist Season (Oct-Mar),76,18,15,60,22,2,196,1,2,49,69.2,11,18,Routine Health Checkup / Minor Elective Ailment,1.6,56.1,17.4,13.8,5.8,3.6,2.2,115,Clear / Sunny & Pleasant,31.5
2/5/1996,Big Urban (Delhi),Not Busy,4,Off-Peak Tourist Season (Apr-Sep),322,2,60,850,92,2,104,1,15,26,49,52,100,Routine Health Checkup / Minor Elective Ailment,12.3,52.9,15,20.2,8.9,5.4,3.5,117,Clear / Sunny & Pleasant,23.3
2/5/1996,Small Urban (Delhi),Not Busy,10,Peak Tourist Season (Oct-Mar),86,1,15,60,28,3,64,2,1,32,57.6,9,28,Routine Health Checkup / Minor Elective Ailment,6.8,40.6,17,32.1,6.4,2.9,3.5,99,Clear / Sunny & Pleasant,26.3
2/6/1996,Big Urban (Delhi),Slightly Busy,1,Peak Tourist Season (Oct-Mar),473,79,60,850,166,84,220,73,10,110,75.1,48,135,Viral Fever / Influenza,24.6,28.5,19.1,28.7,15.8,9.9,5.9,347,Pleasant Haze,34
2/6/1996,Small Urban (Delhi),Slightly Busy,6,Off-Peak Tourist Season (Apr-Sep),118,60,15,60,33,10,231,5,2,77,76.5,9,15,Viral Fever / Influenza,7.8,46.4,15.8,35.7,2.7,1.4,1.3,198,Moderate Smog,18.4
2/7/1996,Big Urban (Delhi),Not Busy,3,Peak Tourist Season (Oct-Mar),245,38,60,850,71,1,48,0,15,24,47.2,37,117,Routine Health Checkup / Minor Elective Ailment,11.1,49.3,9,27.8,18.9,8.8,10.1,89,Clear / Sunny & Pleasant,25.1
2/7/1996,Small Urban (Delhi),Not Busy,10,Peak Tourist Season (Oct-Mar),58,35,15,60,15,2,60,1,1,20,63,12,25,Routine Health Checkup / Minor Elective Ailment,8.7,56,15.6,16.3,3.3,2.1,1.2,61,Clear / Sunny & Pleasant,24.7
2/8/1996,Big Urban (Delhi),Not Busy,3,Peak Tourist Season (Oct-Mar),235,3,60,850,61,2,123,1,11,41,45.3,44,115,Routine Health Checkup / Minor Elective Ailment,19,54,20.1,27.9,16.2,7.7,8.5,104,Clear / Sunny & Pleasant,20.5
2/8/1996,Small Urban (Delhi),Slightly Busy,2,Peak Tourist Season (Oct-Mar),122,79,15,60,45,26,544,18,1,136,92.6,12,14,Gastrointestinal Infection,5.6,41.5,15.2,35.3,5.3,2.5,2.8,326,Moderate Smog,25.5
2/9/1996,Big Urban (Delhi),Slightly Busy,8,Off-Peak Tourist Season (Apr-Sep),455,88,60,850,146,68,234,60,17,117,83.7,47,101,Viral Fever / Influenza,6.3,41.5,20,21.6,3.1,1.8,1.3,395,Light Rain / Humid,31.1
2/9/1996,Small Urban (Delhi),Not Busy,2,Peak Tourist Season (Oct-Mar),79,14,15,60,30,1,52,0,1,26,45.3,10,17,Routine Health Checkup / Minor Elective Ailment,7.2,48,14,12.5,2.4,1.3,1.1,123,Clear / Sunny & Pleasant,28.1
2/10/1996,Big Urban (Delhi),Not Busy,2,Peak Tourist Season (Oct-Mar),408,30,60,850,146,1,36,0,13,18,72,37,123,Routine Health Checkup / Minor Elective Ailment,24.8,45.5,15.6,24,24.9,14.3,10.6,93,Clear / Sunny & Pleasant,28.1
2/10/1996,Small Urban (Delhi),Slightly Busy,7,Off-Peak Tourist Season (Apr-Sep),151,78,15,60,51,22,160,12,2,80,90.6,11,24,Viral Fever / Influenza,7.5,36.3,10.2,16,0.6,0.3,0.3,211,Pleasant Haze,31.5
2/11/1996,Big Urban (Delhi),Not Busy,3,Peak Tourist Season (Oct-Mar),255,25,60,850,80,2,117,1,8,39,54.1,44,131,Routine Health Checkup / Minor Elective Ailment,6.2,45,10.4,27.9,24.7,16.8,7.9,96,Clear / Sunny & Pleasant,26.9
2/11/1996,Small Urban (Delhi),Not Busy,2,Peak Tourist Season (Oct-Mar),56,22,15,60,19,3,68,2,4,17,55.3,8,17,Routine Health Checkup / Minor Elective Ailment,2.1,40.3,17.5,16.2,2.2,1.1,1.1,91,Clear / Sunny & Pleasant,28.3
2/12/1996,Big Urban (Delhi),Not Busy,3,Peak Tourist Season (Oct-Mar),388,0,60,850,121,1,144,0,19,36,49.1,55,104,Routine Health Checkup / Minor Elective Ailment,12.8,30.4,22.2,20.2,17.9,12.1,5.8,119,Clear / Sunny & Pleasant,31
2/12/1996,Small Urban (Delhi),Slightly Busy,6,Off-Peak Tourist Season (Apr-Sep),109,78,15,60,29,13,244,10,2,122,91.7,6,24,Orthopedic / Minor Trauma,5.6,47,26.3,21,2.1,0.9,1.2,217,Moderate Smog,21.4
2/13/1996,Big Urban (Delhi),Not Busy,10,Peak Tourist Season (Oct-Mar),395,42,60,850,111,3,68,1,9,34,50.1,49,133,Routine Health Checkup / Minor Elective Ailment,14.5,38.5,26.6,14.2,14.1,8.8,5.3,117,Clear / Sunny & Pleasant,26
2/13/1996,Small Urban (Delhi),Not Busy,10,Peak Tourist Season (Oct-Mar),45,31,15,60,14,3,72,1,1,24,61.1,6,21,Routine Health Checkup / Minor Elective Ailment,4.2,42.2,18.2,26.1,6.5,3.1,3.4,117,Clear / Sunny & Pleasant,28.1
2/14/1996,Big Urban (Delhi),Not Busy,10,Peak Tourist Season (Oct-Mar),394,28,60,850,151,2,144,1,15,36,55.1,51,123,Routine Health Checkup / Minor Elective Ailment,15,52.6,20.3,23.3,23.5,10.4,13.1,66,Clear / Sunny & Pleasant,23.8
2/14/1996,Small Urban (Delhi),Slightly Busy,2,Peak Tourist Season (Oct-Mar),125,54,15,60,46,15,177,11,4,59,80.6,6,21,Gastrointestinal Infection,3.8,55,11.8,25.6,5.1,3.4,1.7,218,Light Rain / Humid,32.2
2/15/1996,Big Urban (Delhi),Not Busy,4,Off-Peak Tourist Season (Apr-Sep),345,30,60,850,98,1,152,0,8,38,49.2,50,99,Routine Health Checkup / Minor Elective Ailment,20.1,40.3,27.7,28,7.6,4.9,2.7,118,Clear / Sunny & Pleasant,26.7
2/15/1996,Small Urban (Delhi),Not Busy,10,Peak Tourist Season (Oct-Mar),54,3,15,60,14,1,48,0,1,12,46.1,6,28,Routine Health Checkup / Minor Elective Ailment,5.1,39,25.8,12.6,5.6,2.7,2.9,144,Clear / Sunny & Pleasant,22.6
2/16/1996,Big Urban (Delhi),Slightly Busy,7,Off-Peak Tourist Season (Apr-Sep),504,94,60,850,160,93,224,81,14,56,87.6,54,113,Gastrointestinal Infection,9.1,47.1,10.5,30.4,3,1.3,1.7,270,Pleasant Haze,34.7
2/16/1996,Small Urban (Delhi),Slightly Busy,4,Off-Peak Tourist Season (Apr-Sep),160,96,15,60,60,17,339,8,3,113,79.3,10,16,Viral Fever / Influenza,7.1,52,15.5,30.2,0,0,0,346,Moderate Smog,30.2
2/17/1996,Big Urban (Delhi),Slightly Busy,6,Off-Peak Tourist Season (Apr-Sep),442,74,60,850,149,61,416,42,19,104,77.8,39,101,Gastrointestinal Infection,22.5,44.5,9.1,21,6,3.3,2.7,269,Moderate Smog,40.7
